id,text,aspects
99,heartland brewery is by far one of best place in nyc to make new friend catch up old one .,"['new friend', 'heartland brewery', 'old one', 'best place']"
100,almost hesititate to write review atmosphere so great would hate it become to crowded .,['review atmosphere']
101,often crowded on weekend but efficient accurate service .,"['efficient service', 'efficient accurate service', 'accurate service']"
102,my co worker amazed at small dish .,"['co worker', 'my co worker', 'small dish']"
103,"atmosphere is unheralded , service impecible , food magnificant .","['impecible magnificant', 'food magnificant']"
104,"we ordered special , grilled branzino , so infused bone , it difficult to eat .","['so infused bone', 'infused bone', 'special , grilled branzino', 'special branzino', 'grilled branzino']"
105,"wait staff is friendly , food gotten better better !",[]
106,", is month old , is perhaps queen biggest secret !","['queen biggest secret', 'biggest secret']"
107,"it may be bit packed on weekend , but vibe is good it is best french food find in area .","['french food find', 'food find', 'french find']"
108,is so much fun .,"['so much fun', 'much fun']"
109,glad .,[]
110,right in brooklyn is nice cozy place good pizza .,"['cozy place', 'good pizza', 'nice place']"
111,ve never treated so rudely .,[]
112,ll be back soon .,[]
113,le pere pinard pre theater menu is outstanding .,"['pre menu', 'pinard menu', 'theater menu']"
114,went inside started to get excited .,[]
115,also ordered delivery forgot half order .,"['delivery forgot', 'half order']"
116,server checked on u maybe twice entire meal .,"['entire meal', 'maybe twice entire meal']"
117,"however , it is jus good to not praise it .",[]
118,we to montparnasse many time return often good reason .,"['good reason', 'many time']"
119,strong scent coming left right of me negatively affected my taste bud .,"['taste bud', 'strong scent', 'my taste bud']"
120,we lobster sandwich it fantastic .,[]
121,it somewhere eat be happy .,[]
122,"if wrote bad review , it understand rao is .",['bad review']
123,"we stalling could understand coming , but we less an hour even brought u check yet !",['an hour']
124,but overall give it,[]
125,"though spider roll may look like challenge to eat , soft shell crab hanging of roll , it is well worth price pay .","['soft crab', 'spider roll', 'crab hanging', 'shell crab', 'worth pay', 'well worth price pay', 'price pay']"
126,deep fried skewer good still rare to find in nyc .,['fried skewer']
127,"tried to make reservation , but time , hostess my name .",['my name']
128,also recommend rice dish or different variety of congee rice porridge .,"['different variety', 'congee rice porridge', 'rice porridge', 'rice dish', 'congee rice']"
129,tuna tartar appetizer is to die .,"['tuna tartar appetizer', 'tuna appetizer', 'tartar appetizer']"
130,one of best restaurant ve ever to .,['best restaurant']
131,used to be pretty decent .,[]
132,"an oasis of refinement food , though somewhat uneven , often reach pinnacle of new american fine cuisine chef passion kitchen precise execution is evident in fish dish soup .","['chef passion', 'new kitchen', 'passion kitchen', 'american cuisine', 'kitchen execution', 'fish dish soup', 'refinement food', 'fish dish', 'dish soup', 'an oasis', 'cuisine chef', 'fine cuisine', 'precise execution']"
133,"if love wine cheese delicious french fare , ll love artisanal !","['wine cheese', 'delicious fare', 'french fare']"
134,love indian food consider to be quite an expert on it .,"['indian food', 'quite an expert']"
135,baby pizza get wish .,['baby pizza']
136,plenty of choice to make creation .,[]
137,it tiny felt like eating in someone living room .,"['someone room', 'someone living room', 'living room']"
138,on sat .,[]
139,overall oh ya even though is waiting it is deff worth it,[]
140,lava cake dessert incredible recommend it .,"['lava cake', 'lava cake dessert incredible']"
141,vt is baby pizza hope to be grow up .,['baby pizza']
142,"terrible service , to bland food , not to mention unaccommodating manager , overall experience horrible .","['unaccommodating manager', 'overall experience', 'horrible experience', 'terrible service']"
143,lahore is great to duck late night need really tasty food on cheap ll likely trouble finishing amount of food get four dollar .,"['really tasty food', 'late night', 'finishing amount', 'likely trouble', 'four dollar', 'tasty food']"
144,last time went we seated at table in corridor next to kitchen .,['last time']
145,good selection of wine ranging affordable to high end .,"['good selection', 'affordable selection', 'high end']"
146,"nice overall , classic upscale italian decor .","['italian decor', 'classic upscale', 'nice decor', 'overall decor']"
147,not impressed food .,"['not impressed food', 'impressed food']"
148,entire dining experience wonderful !,"['entire dining experience', 'entire experience', 'dining experience']"
149,wine selection by glass bottle is wonderful always recommend friend make reservation if re going to be in town .,"['wine selection', 'glass bottle']"
150,service is highly refined seating delayed minute past reservation maitre apologized regularly kept u apprised of progress .,"['reservation maitre', 'past maitre', 'delayed minute', 'minute maitre']"
151,"order panang duck , it fantastic .",[]
152,"food is usually good , though ocasionally wondered freshmess of raw vegatables in side order .","['side order', 'raw vegatables']"
153,"crappy service two individual , it great .","['crappy service', 'two individual']"
154,ask ?,[]
155,wondering best deal we noticed line formed to wait one particular .,"['best deal', 'noticed line']"
156,authentic indian at amazin price .,"['authentic indian', 'amazin price']"
157,treated like royality .,[]
158,"nice quiet , small but enough or .",[]
159,ambiance relaxed stylish .,"['relaxed stylish', 'ambiance relaxed stylish']"
160,ve never felt unwelcome last month at jimmy bronx cafe .,"['jimmy bronx cafe', 'jimmy bronx', 'last month']"
161,"luckily we saved room bbq salmon , sea bass crispy duck .","['room salmon', 'sea bass crispy duck', 'sea bass', 'bbq salmon', 'room bbq salmon', 'crispy duck', 'bass crispy']"
162,"yes , use fancy ingredient , but even fancy ingredient make good pizza unless someone know to get crust right .","['even fancy ingredient', 'fancy ingredient', 'good pizza']"
163,"looking outside in , one would hesitate to enter hole in wall really , it is .",[]
164,yes dal bukhara is so dam good so kababs .,"['yes dal bukhara', 'dal bukhara']"
165,look forward to eating,[]
166,ve coming a child always come back taste .,['a child']
167,tuk tuk is one of comfortable neighborhood joint know always good meal at fair price .,"['fair price', 'comfortable neighborhood', 'good meal', 'tuk tuk']"
168,"glass of leaping lizard , glass of prosecco , mussel everything happy .",['leaping lizard']
169,"food average creme brulee awful sugar charred , not caramelized smelled of kerosene .","['average creme', 'awful sugar']"
170,food always taste fresh served promptly .,[]
171,know live nearby .,[]
172,pizza is delicious .,[]
173,my entire family horrified .,"['entire family', 'my entire family']"
174,on monthly basis my friend get together girl night .,"['my friend', 'monthly basis', 'girl night']"
175,"pizza garlic knot great a well , order quite often delivery is always super quick !","['garlic knot', 'pizza garlic knot', 'order quite often delivery']"
176,"great chinese food nearby , wu liang ye grand sichuan block away .","['great food', 'chinese food']"
177,but say murray is anything service .,[]
178,"is really trendi but forgotten important part of , food .",['important part']
179,never disappointed in red eye .,['red eye']
180,hat to chef .,[]
181,done in back room away customer .,['back room']
182,"service could be improved but overall is understands importance of little thing heavy , black , antique seeming teapot , one in experience .","['black teapot', 'seeming teapot', 'little thing', 'antique teapot', 'heavy teapot']"
183,glad luxury to throw paying customer .,"['paying customer', 'glad luxury']"
184,"pizza is delicious use fresh mozzarella instead of cheap , frozen , shredded cheese common to pizzaria .","['frozen cheese', 'cheap cheese', 'common cheese', 'shredded cheese', 'fresh mozzarella']"
185,an excellent place to relax food is one of best in city of new york .,"['excellent place', 'an excellent place', 'new york']"
186,"service is friendly , never problem walking in getting table .","['friendly , never problem', 'friendly problem']"
187,atmosphere crowded but it great bistro type vibe .,"['great vibe', 'type vibe', 'bistro type']"
188,check it,[]
189,"first , waitress completely unattentive time we saw odd in table got order wrong .",['unattentive time']
190,go .,[]
191,food bland oily .,['food bland']
192,but do .,[]
193,"is even better , is price affordable a well , food is really good .",[]
194,fish is fresh but variety of fish is nothing of ordinary .,"['fresh but variety', 'fresh variety']"
195,look dont know if people wrote review ever to decent please try someother place .,['someother place']
196,suan challenged loyalty .,[]
197,"favorite meal is pesto pizza , house salad , good bottle of wine .","['favorite meal', 'pesto pizza', 'good bottle']"
198,"kruno , beverage manager is best bartender yet to come across .","['beverage manager', 'best bartender']"
199,"ambiance music funky , enjoy .",['ambiance music']
200,"food , drink service clearly among best in city .",[]
201,went in late afternoon bite size food refleshment my date .,"['size food', 'bite size', 'food refleshment', 'afternoon food', 'late afternoon', 'my date']"
202,"it really great deal , considering we got full of four dollar .","['four dollar', 'great deal']"
203,"understand area folk need not come romantic , alluring ambiance or five star service featuring sommlier complicated maze of captain back waiter come authentic food , taste , experiance .","['back waiter', 'star service', 'authentic food', 'complicated maze', 'sommlier maze', 'area folk', 'sommlier complicated maze', 'five star service']"
204,went mommy person could afford taking me .,['mommy person']
205,my friend on vacation in ny referred to chance by friend .,['my friend']
206,"last time went , waitress come back taking order .",['last time']
207,try tandoori salmon !,['tandoori salmon']
208,"am completely hooked on , it is ridiculous .",[]
209,"eating in , atmosphere save it , but at desk , it disappointing experience .",['disappointing experience']
210,"granted space is smaller , it is best service find in even largest of restaurant .","['best find', 'service find', 'best service find', 'granted space']"
211,"recommended to friend , always get good response .",['good response']
212,we return many time oasis in mid town .,"['many time oasis', 'time oasis', 'mid town', 'many time']"
213,love atmorphere peep !,[]
214,enjoy !,[]
215,we !,[]
216,is one of my favorite restaurant it is not to be missed .,"['favorite restaurant', 'my favorite restaurant']"
217,la rosa is connected by swinging door to mexican pacifico .,"['mexican pacifico', 'la rosa']"
218,it could handled better .,[]
219,service attentive suggestion of menu item right on mark .,"['attentive suggestion', 'service attentive suggestion', 'menu item']"
220,night we three course meal everything delicious if could of licked plate clean would of .,['licked plate']
221,please be aware it cash or amex !,[]
222,"even getting pushed by no class famous ray , sal risen to carry on father uncle legacy smile , true love community , let not forget outstanding pizza !","['uncle smile', 'outstanding pizza', 'no class famous ray', 'father uncle', 'love community', 'legacy smile', 'father uncle legacy smile', 'famous ray', 'true community', 'true love community']"
223,it rather cramped busy it close early .,[]
224,"environment is romantic , but food is horrible , service is pathetic , gabriella lie everything could .",[]
225,"we crawfish boiled despite making mess , it ton of fun quite tasty a well .",['it ton']
226,high expectation made reservation couple of month in advance special occasion .,"['high expectation', 'reservation couple', 'advance special occasion', 'special occasion']"
227,served warm soft fluffy interior .,[]
228,came to table burned beyond recognition stringy .,[]
229,pad thai noodle sticky .,['pad thai']
230,"so ve never actually to proper , but ve it delivered time .",[]
231,"among of new th avenue restaurant , offer by far one of best value for your money .","['new restaurant', 'best value', 'your money', 'avenue restaurant', 'new th avenue restaurant']"
232,"frankly , compare lunch , versus mcds or so many sandwich shop in city , is no comparison .","['sandwich shop', 'so many sandwich shop', 'many shop', 'compare lunch', 'no comparison']"
233,hostess is rude to point of offensive .,[]
234,"if re craving haru great food , especially house roll , but stand wait building outisde , head across street to sake bar !","['house roll', 'haru great food', 'great food', 'especially house roll']"
235,"narrow corridor lead to tiny space three tiny white tiled counter , great deal of mess stack of bottle , can small counter holding entree .","['narrow lead', 'white counter', 'tiled counter', 'small counter', 'great deal', 'tiny space', 'corridor lead', 'narrow corridor lead', 'mess stack']"
236,food is great .,[]
237,succulent steak cooked precisely to desired doneness accompanied by salad side look like leafy road kill .,"['leafy road kill', 'salad look', 'succulent steak', 'road kill', 'side look', 'desired doneness', 'salad side look', 'leafy road']"
238,"lunch came pickels and slaw , no extra charge .",['extra charge']
239,decent wine at reasonable price .,"['reasonable price', 'decent wine']"
240,conveniently delivered right to door .,[]
241,even the wine by the glass good .,"['even the wine', 'the glass', 'good wine']"
242,nice family owned traditional .,['nice family']
243,would rather tried terrace in sky or water club price,['water club']
244,dish is my favorite always get it go never get tired of it .,[]
245,"also ordered change mojito , of world .",['change mojito']
246,okay service .,['okay service']
247,thing wonderful food is exceptional is service .,"['wonderful food', 'thing wonderful food']"
248,we pleasantly surprised .,[]
249,"food awful , atrocious actually .",[]
250,never visit .,[]
251,the soup for the udon soy sauce water .,"['sauce water', 'soy sauce', 'udon water', 'the soup']"
252,"anti pasta excellent , especially calamari , a filling pasta main .",['filling pasta']
253,waitress suggested glass of wine went well food .,['well food']
254,"or sister , in my case ! .","['my case', 'or sister']"
255,ve eaten at many different indian restaurant .,"['many restaurant', 'indian restaurant', 'different restaurant', 'many different indian restaurant']"
256,"might be business at counter give order , but food say love .",['give order']
257,"we particular sushi please every choice included ceviche mix special , crab dumpling , assorted sashimi , sushi roll , two type of sake , banana tempura .","['special type', 'particular sushi', 'sushi roll', 'banana tempura', 'assorted sashimi', 'ceviche mix', 'dumpling sashimi', 'every choice']"
258,try plain pizza fresh garlic or eggplant .,"['fresh garlic', 'plain pizza', 'plain pizza fresh garlic']"
259,go !,[]
260,"ok , so server wander around little clueless , but enough server crowd get it fine , to make small effort to get attention .","['enough server crowd', 'server crowd', 'enough crowd', 'small effort', 'little clueless', ', so server']"
261,good luck getting table .,['good luck']
262,"we picked it randomly , without recommendation someone , so we sure to expect .",['recommendation someone']
263,look nose at me like ...,[]
264,planet thai is great !,['planet thai']
265,service is awful .,[]
266,do it .,[]
267,ignore trendy wannabe .,['trendy wannabe']
268,"takeout menu say to keep an eye an expanded menu offering italian dish , wait !","['expanded menu', 'takeout menu', 'an eye', 'an expanded menu', 'italian dish']"
269,"trust me , it be great , of it be devoured in no time .",['no time']
270,my girlfiends ate at o.g . last night .,"['last night', 'my girlfiends']"
271,wish one near my office would go everyday .,['my office']
272,finally !,[]
273,amma worst value money experienced in nyc past year .,"['value money', 'worst money', 'amma worst value money', 'past year']"
274,"am not experienced person it come to thai food , but my friend took me is .","['thai food', 'am not experienced person', 'experienced person', 'my friend']"
275,think would be pretty good if it not so overpriced overrated .,[]
276,regardless of whether two people or two hundred people ahead of hostess take name tell five minute .,"['two hundred people', 'five minute', 'hostess name', 'two people', 'hostess take name', 'take name']"
277,pizza is good though .,[]
278,bottle of wine cheap good .,['good bottle']
279,not be disapointed at .,[]
280,walk in risky .,[]
281,"different beer to offer thier guest so made my husband happy food delicious , if must recommend dish it must be pumkin tortelini .","['my husband', 'different beer', 'thier guest']"
282,give u dinner special we asked it .,['dinner special']
283,must crabmeat lasagna is of world chocolate bread pudding dessert .,"['bread dessert', 'chocolate bread', 'pudding dessert', 'world bread']"
284,"word of advice , save room pasta dish never leave ve tiramisu .",['room pasta dish']
285,good service good price .,"['good service good price', 'good price', 'good service']"
286,recently went to co worker lunch an amazing time .,"['worker lunch', 'co lunch', 'co worker lunch', 'amazing time']"
287,"service impeccable unobtrusive staff know to do to know menu , present meal , attend to need .","['present meal', 'impeccable staff', 'unobtrusive staff', 'impeccable unobtrusive staff']"
288,es bagel either by sty town or midtown is by far best bagel in ny .,"['sty town', 'best bagel', 'far best bagel']"
289,food great !,[]
290,open late well a late a ever got night person,"['got person', 'late person', 'night person']"
291,"annoying thing , though , is fact server seem to be trained to drive revenue .","['fact server', 'annoying thing']"
292,"get food to go , find bench , kick back plate of dumpling .",[]
293,"please try filet mignon , tender piece ever .","['filet mignon', 'tender piece']"
294,"everything we pretty good , but we .",[]
295,"we still sitting at bar we drank sangria , but facing away bar we turned back around , gone people next to u said bartender took it .",[]
296,something busy holiday party .,"['holiday party', 'busy holiday party', 'busy party']"
297,sake menu not be overlooked !,['sake menu']
298,would highly recommend .,[]
299,is great .,[]
300,drink amazing half till pm .,['amazing half']
301,ve back to nha trang literally hundred time beef cube re good .,"['beef cube', 'time cube']"
302,"so many poor experience to be in theater district , is truly an excellent find !","['theater district', 'excellent find', 'so many poor experience', 'many experience', 'poor experience', 'an excellent find']"
303,got to be one of overrated restaurant in brooklyn .,['overrated restaurant']
304,"service , wine selection , ambiance outstanding deserve recognition .","['ambiance outstanding deserve recognition', 'outstanding recognition', 'wine selection', 'deserve recognition']"
305,"went last night year anniversery , impressed .","['last night', 'night year', 'last night year anniversery', 'year anniversery']"
306,it rather pathetic it took an hour to seat u .,['an hour']
307,"we seated promptly a we reservation , however service slow .","['a we reservation', 'we reservation']"
308,at first slightly skeptical it sushi in middle of nyc .,[]
309,"it really also service , is good waiter friendly .","['friendly waiter', 'good waiter']"
310,suan recommendation am glad we heeded .,['suan recommendation']
311,"food pretty good , but little flavorless portion small , including dessert .","['little portion', 'little flavorless portion', 'small portion', 'good food', 'flavorless portion']"
312,we visit at least month .,['least month']
313,"it is set far small street it on , is no traffic noise .","['no traffic noise', 'far small street it', 'small street', 'traffic noise']"
314,"also , is popular family , so if re bothered by child running loose like wild animal , come later at night to avoid .","['wild animal', 'popular family']"
315,ll keep short .,[]
316,felt a though eating in paris .,[]
317,lived in shanghai of my life thought food comparable to flagship green bo .,"['my life', 'green bo']"
318,"highly recommend cafe st. bart food , ambience wonderful service .",['wonderful service']
319,"however , it not worth special trip .",['special trip']
320,nice value .,['nice value']
321,gigino in wagner park is so enjoyable .,['wagner park']
322,it quick is important .,[]
323,is nice if looking good to host an intimate dinner meeting business associate .,"['business associate', 'meeting associate', 'intimate meeting', 'dinner meeting']"
324,nyu student love so it make fun young atmosphere .,"['nyu student', 'fun young atmosphere', 'young atmosphere', 'nyu student love', 'student love', 'fun atmosphere']"
325,food great service to name cantonese is ... .,"['great service', 'food great service']"
326,"but , nothing stand cooking .",[]
327,joya used to be cool decent food colorful if not relaxed atmosphere .,"['cool decent food', 'if not relaxed atmosphere', 'cool food', 'colorful food', 'decent food', 'relaxed atmosphere']"
328,"if problem , go to mcdonald destroy inside .",['mcdonald destroy']
329,prix fixe menu is worth every penny get enough in quantity quality .,"['fixe menu', 'quantity quality', 'prix fixe menu', 'prix menu']"
330,ve time lunch it is one of my favorite in city .,"['my favorite', 'time lunch']"
331,"egg benedict brunch , worst in my entire life , tried removing hollondaise sauce completely failed it .","['my entire life', 'benedict brunch', 'egg brunch', 'hollondaise sauce', 'entire life', 'egg benedict brunch']"
332,"work near by , best oatmeal in neighborhood not packaged or quick cooked item .","['cooked item', 'quick cooked item', 'quick item']"
333,always busy but fast moving .,[]
334,bad food of heritage .,['bad food']
335,"menu looked good , except offering chilean sea bass , but server not offer up special written on board outside .","['sea bass', 'chilean bass', 'chilean sea bass']"
336,sexy .,[]
337,"food really good , onion soup it one of best ever .","['good food', 'onion soup']"
338,"to say , bengali fast food is clearly my favorite .","['bengali fast food', 'bengali food', 'fast food']"
339,not picky but it actually gross .,[]
340,"overall , solid at less pp including wine , solid deal a well .",[]
341,"since it literally is complete hole in wall , it bit intimidating at first , but get quickly a soon a friendly staff welcome hesitate to ask help to get .","['staff welcome', 'friendly welcome', 'complete hole']"
342,"based on review dinner , is would reconsider revisiting , but definitely not dim sum .","['dim sum', 'review dinner']"
343,"it cost extra to turn regular roll an inside roll , but roll triple in size , not rice .","['regular roll', 'inside roll', 'an inside roll']"
344,"even john joe around corner , make name .",['even john joe']
345,"it melted in my little mouth perfect consistency not fishy , creamy , slightly buttery .","['little mouth', 'creamy buttery', 'fishy buttery', 'perfect consistency']"
346,"he finally , he unable to make gin and tonic find tonic .",[]
347,my girlfriend convinced me to go in night quick bite .,"['my girlfriend', 'quick bite']"
348,"dim sum is ok but taste fresh , little dish look steamy hot a also note lack of chinese .","['dim sum', 'note lack', 'little dish', 'hot lack']"
349,despite untasteful previous review ...,"['untasteful review', 'previous review', 'untasteful previous review']"
350,"judge prima facie , to try it to believe it , home away home literate heart .","['home literate heart', 'prima facie', 'literate heart', 'judge prima facie', 'judge facie']"
351,"sure , everyone got favorite , but to know sal , is to know new york .",['new york']
352,think it is absolutely brilliant well runned business operation .,['business operation']
353,also !,[]
354,"service is ok , of people get asked .",[]
355,"my friend spoke so much it month , finally made time to come ear in .",['my friend']
356,if want good authentic thai is not to go .,"['authentic thai', 'good authentic thai', 'good thai']"
357,recommend getting reservation even though we saw people seated without one .,[]
358,thing moderately enjoyed grilled chicken special with edamame puree .,"['edamame puree', 'grilled special', 'chicken special', 'grilled chicken special']"
359,is a good a neighborhood restaurant come .,"['neighborhood restaurant', 'good restaurant']"
360,"if want roast duck , pork or chicken on rice with ginger , try !",['roast duck']
361,"order menu , so leave feeling like missed full experience .","['full experience', 'order menu', 'missed full experience', 'missed experience']"
362,one of authentic shanghainese restaurant in u definitely best in manhattan chinatown .,"['shanghainese restaurant', 'authentic shanghainese restaurant', 'authentic restaurant', 'manhattan chinatown']"
363,we go back every time we in city .,[]
364,we love th pink pony .,"['pink pony', 'th pink pony']"
365,so eat fast order lot .,"['fast order lot', 'fast order', 'order lot']"
366,staff is accomodating .,[]
367,to agree previous reviewer .,['previous reviewer']
368,eat club is roving group of nyc glutton,['nyc glutton']
369,"if it first opened , give second chance .",['second chance']
370,went to del frisco friday night my boyfriend an reservation .,"['del frisco', 'my boyfriend', 'friday night']"
371,"if like sakagura but feel it much , better try yokocho .",['if like sakagura']
372,favor dinner see if dont agree me .,['favor dinner']
373,definitely great nice occasion or date .,"['definitely great nice occasion', 'nice occasion', 'great occasion']"
374,go wrong .,[]
375,popular style izakaya sake small portion of sake friendly dish .,"['friendly dish', 'sake friendly dish', 'popular style', 'izakaya portion', 'small portion']"
376,hurley is like cheer everyone know name actually glad came .,['glad name']
377,not pretentious economical .,[]
378,"food terrific service classy , attentive , without overbearing .","['service classy', 'food terrific service classy', 'terrific classy']"
379,is an amazing to try roti roll .,['roti roll']
380,fresh ingredient everything is made to order .,['fresh ingredient']
381,"we never problem charging meal or tip , food delivered quickly , but we live minute walk .",['minute walk']
382,quick friendly service .,"['quick service', 'quick friendly service', 'friendly service']"
383,authentic bistro !,['authentic bistro']
384,"tasty , but suggest eating one meat tend not to mesh well average american digestive system .","['one meat', 'digestive system', 'american system', 'well system', 'average system']"
385,somewhat pricey but heck .,[]
386,"it true , is not cheap .",[]
387,"try hot dog , re snappy delicious .","['hot dog', 'snappy delicious']"
388,delivery is fast .,[]
