id,text,aspects,sentence
30,"go alone even two people enough whole experience , pickle and selection of meat and seafood .","['whole experience', 'enough people']","go alone even two people enough whole experience , pickle and selection of meat and seafood ."
31,my suggestion is to eat family style ll want to try dish .,"['family style', 'my suggestion']",my suggestion is to eat family style ll want to try dish .
32,"best of is warm vibe , owner is super friendly service is fast .","['warm vibe', 'friendly service', 'super friendly service']","best of is warm vibe , owner is super friendly service is fast ."
33,value .,[],value .
34,faan got great concept but little rough on delivery .,['great concept'],faan got great concept but little rough on delivery .
35,"incredible food , to warm atmosphere , to friendly service , downtown neighborhood miss beat .","['downtown neighborhood', 'friendly service', 'downtown neighborhood miss', 'neighborhood miss', 'incredible food', 'warm atmosphere']","incredible food , to warm atmosphere , to friendly service , downtown neighborhood miss beat ."
36,"great food at reasonable price , make an evening be beat !","['great food', 'reasonable price', 'an evening']","great food at reasonable price , make an evening be beat !"
37,look foward to trying ruben upon returning .,[],look foward to trying ruben upon returning .
38,steakhouse seems to hold candle to roth is strip house .,['strip house'],steakhouse seems to hold candle to roth is strip house .
39,we usually go to chart house to celebrate birthday or anniversary .,['chart house'],we usually go to chart house to celebrate birthday or anniversary .
40,little cute interior decor affordable city price .,"['little price', 'cute price', 'affordable city', 'city price', 'interior price']",little cute interior decor affordable city price .
41,ll adore it .,[],ll adore it .
42,two word free wine .,"['free wine', 'two word free wine']",two word free wine .
43,price is reasonable although service is poor .,[],price is reasonable although service is poor .
44,"quantity is also good , come satisfied .",[],"quantity is also good , come satisfied ."
45,to roth twice time disappointing .,['twice time'],to roth twice time disappointing .
46,worth visiting st ave it is original store .,"['st ave', 'original store']",worth visiting st ave it is original store .
47,"stumbled upon second floor walk up two friday ago two friend in town l.a. serious sushi lover , we sat at sushi bar to be closer to action .","['town l.a', 'sushi bar', 'second floor', 'serious sushi lover']","stumbled upon second floor walk up two friday ago two friend in town l.a. serious sushi lover , we sat at sushi bar to be closer to action ."
48,"raga is romantic , cozy .",[],"raga is romantic , cozy ."
49,fried rice is amazing .,['fried rice'],fried rice is amazing .
50,"three course choice include excellent mussel , puff pastry goat cheese salad with delicious dressing , hanger steak au poivre is of world .","['cheese salad', 'delicious dressing', 'three course choice', 'hanger steak', 'course choice', 'excellent mussel']","three course choice include excellent mussel , puff pastry goat cheese salad with delicious dressing , hanger steak au poivre is of world ."
51,it perfect to amanzing indian food .,['indian food'],it perfect to amanzing indian food .
52,place is so cool service is prompt curtious .,"['so cool service', 'cool service']",place is so cool service is prompt curtious .
53,at end re left with mild broth with noodle slurp of cup .,"['noodle slurp', 'mild broth']",at end re left with mild broth with noodle slurp of cup .
54,wonder delicious meal little money .,"['delicious meal', 'little money', 'delicious meal little money']",wonder delicious meal little money .
55,food delicious but do not come on empty stomach .,['empty stomach'],food delicious but do not come on empty stomach .
56,wine list is excellent .,['wine list'],wine list is excellent .
57,so garantuan fit in toaster .,[],so garantuan fit in toaster .
58,"ive to many thai restaurant in manhattan , toon is by far best thai food ive except my mom of course .","['far best thai food', 'thai food', 'best food', 'many thai restaurant', 'thai restaurant', 'my mom', 'many restaurant']","ive to many thai restaurant in manhattan , toon is by far best thai food ive except my mom of course ."
59,wouldnt even let me finish my glass of wine offering another .,['my glass'],wouldnt even let me finish my glass of wine offering another .
60,highly recommend sophia pizza .,"['highly recommend sophia pizza', 'sophia pizza', 'recommend pizza']",highly recommend sophia pizza .
61,"whem asked , we to ask detailed question so we knew special .",['detailed question'],"whem asked , we to ask detailed question so we knew special ."
62,is consistently great to dine lunch or dinner .,['dine lunch'],is consistently great to dine lunch or dinner .
63,"nice atmosphere , service pleasant desert good .","['good atmosphere', 'service pleasant desert', 'pleasant desert', 'nice atmosphere']","nice atmosphere , service pleasant desert good ."
64,people bring go back on bring friend !,[],people bring go back on bring friend !
65,really enjoying at bar we sat at table dinner .,['table dinner'],really enjoying at bar we sat at table dinner .
66,"fabulous service , fantastic food , chilled atmosphere environment .","['fabulous service', 'atmosphere environment', 'fantastic food', 'chilled atmosphere environment', 'chilled environment']","fabulous service , fantastic food , chilled atmosphere environment ."
67,not wanted to hear .,[],not wanted to hear .
68,try lasagnette appetizer .,['lasagnette appetizer'],try lasagnette appetizer .
69,"pricey , but worth try , at least .",[],"pricey , but worth try , at least ."
70,"ve time , usually end up sitting next to pretty odd people .","['odd people', 'pretty odd people']","ve time , usually end up sitting next to pretty odd people ."
71,liked beer selection !,['beer selection'],liked beer selection !
72,"great food , good size menu , great service an unpretensious setting .","['unpretensious setting', 'size menu', 'an unpretensious setting', 'great service', 'good size', 'great food', 'good size menu']","great food , good size menu , great service an unpretensious setting ."
73,go romantic dinner but not an wow dining experience .,"['wow experience', 'dining experience', 'romantic dinner']",go romantic dinner but not an wow dining experience .
74,wait to go back .,[],wait to go back .
75,grew up eating dosa yet to find in ny to satisfy my taste bud .,"['my taste bud', 'taste bud']",grew up eating dosa yet to find in ny to satisfy my taste bud .
76,wine list selection is good wine by glass generously filled to top .,"['list selection', 'wine list selection', 'wine list', 'good wine']",wine list selection is good wine by glass generously filled to top .
77,"great variety on menu , eat often never get bored .",['great variety'],"great variety on menu , eat often never get bored ."
78,menu is limited think we counted or entree .,[],menu is limited think we counted or entree .
79,"if carnivore , come hungry leave satisfied ever .","['hungry leave', 'satisfied leave']","if carnivore , come hungry leave satisfied ever ."
80,menu is limited but almost of dish excellent .,[],menu is limited but almost of dish excellent .
81,not crazy sake martini .,"['crazy martini', 'not crazy sake martini', 'sake martini']",not crazy sake martini .
82,"great bagel , spread good to hang in .",['great bagel'],"great bagel , spread good to hang in ."
83,"service varys day to day sometimes re nice , sometimes not .",['service varys'],"service varys day to day sometimes re nice , sometimes not ."
84,"whoever jazz duo , on point .",[],"whoever jazz duo , on point ."
85,one thing liked is never felt rushed or pressured to give up my table ot incoming guest .,"['ot incoming guest', 'incoming guest', 'ot guest', 'my table', 'one thing']",one thing liked is never felt rushed or pressured to give up my table ot incoming guest .
86,is great bargain .,['great bargain'],is great bargain .
87,we happened upon purely by accident pleased result .,"['accident pleased result', 'pleased result']",we happened upon purely by accident pleased result .
88,"unfortunately , food is outstanding , but everything else is pit .",[],"unfortunately , food is outstanding , but everything else is pit ."
89,deff recimmend bukhara also opened two new location guess ill try .,['new location'],deff recimmend bukhara also opened two new location guess ill try .
90,we always delicious meal always leave feeling satisfied .,['delicious meal'],we always delicious meal always leave feeling satisfied .
91,"dip ingredient in chopstick , swirl around , eat .",['dip ingredient'],"dip ingredient in chopstick , swirl around , eat ."
92,first went to enjoy garden terrace .,['garden terrace'],first went to enjoy garden terrace .
93,"my husband perfect , my well done dry .",['my husband'],"my husband perfect , my well done dry ."
94,"everyone spoken is super friendly , helpful , willing to extra mile customer .","['extra mile customer', 'extra customer', 'mile customer']","everyone spoken is super friendly , helpful , willing to extra mile customer ."
95,pizza pretty good huge .,[],pizza pretty good huge .
96,sapphire is indian go to in nyc .,[],sapphire is indian go to in nyc .
97,"cuisine ve gathered is authentic taiwanese , though different ve accustomed to in taipei .",['authentic taiwanese'],"cuisine ve gathered is authentic taiwanese , though different ve accustomed to in taipei ."
98,heartily recommend .,[],heartily recommend .
99,heartland brewery is by far one of best place in nyc to make new friend catch up old one .,"['heartland brewery', 'new friend', 'best place']",heartland brewery is by far one of best place in nyc to make new friend catch up old one .
100,almost hesititate to write review atmosphere so great would hate it become to crowded .,['review atmosphere'],almost hesititate to write review atmosphere so great would hate it become to crowded .
101,often crowded on weekend but efficient accurate service .,"['accurate service', 'efficient service', 'efficient accurate service']",often crowded on weekend but efficient accurate service .
102,my co worker amazed at small dish .,"['small dish', 'my co worker', 'co worker']",my co worker amazed at small dish .
103,"atmosphere is unheralded , service impecible , food magnificant .","['impecible magnificant', 'food magnificant']","atmosphere is unheralded , service impecible , food magnificant ."
104,"we ordered special , grilled branzino , so infused bone , it difficult to eat .","['special , grilled branzino', 'infused bone', 'grilled branzino', 'special branzino', 'so infused bone']","we ordered special , grilled branzino , so infused bone , it difficult to eat ."
105,"wait staff is friendly , food gotten better better !",['wait staff'],"wait staff is friendly , food gotten better better !"
106,", is month old , is perhaps queen biggest secret !","['biggest secret', 'queen biggest secret', 'queen secret']",", is month old , is perhaps queen biggest secret !"
107,"it may be bit packed on weekend , but vibe is good it is best french food find in area .","['food find', 'best find', 'french find', 'best french food find']","it may be bit packed on weekend , but vibe is good it is best french food find in area ."
108,is so much fun .,"['much fun', 'so much fun']",is so much fun .
109,glad .,[],glad .
110,right in brooklyn is nice cozy place good pizza .,"['nice place', 'cozy place', 'good pizza', 'nice cozy place']",right in brooklyn is nice cozy place good pizza .
111,ve never treated so rudely .,[],ve never treated so rudely .
112,ll be back soon .,[],ll be back soon .
113,le pere pinard pre theater menu is outstanding .,"['theater menu', 'pre menu', 'pinard menu', 'le menu']",le pere pinard pre theater menu is outstanding .
114,went inside started to get excited .,[],went inside started to get excited .
115,also ordered delivery forgot half order .,['half order'],also ordered delivery forgot half order .
116,server checked on u maybe twice entire meal .,['entire meal'],server checked on u maybe twice entire meal .
117,"however , it is jus good to not praise it .",['good jus'],"however , it is jus good to not praise it ."
118,we to montparnasse many time return often good reason .,"['many time', 'often good reason', 'good reason']",we to montparnasse many time return often good reason .
119,strong scent coming left right of me negatively affected my taste bud .,"['strong scent coming', 'taste bud', 'strong coming', 'scent coming', 'my taste bud']",strong scent coming left right of me negatively affected my taste bud .
120,we lobster sandwich it fantastic .,[],we lobster sandwich it fantastic .
121,it somewhere eat be happy .,[],it somewhere eat be happy .
122,"if wrote bad review , it understand rao is .",['bad review'],"if wrote bad review , it understand rao is ."
123,"we stalling could understand coming , but we less an hour even brought u check yet !",[],"we stalling could understand coming , but we less an hour even brought u check yet !"
124,but overall give it,[],but overall give it
125,"though spider roll may look like challenge to eat , soft shell crab hanging of roll , it is well worth price pay .","['well worth price pay', 'worth pay', 'spider roll', 'soft crab', 'price pay', 'crab hanging', 'shell crab']","though spider roll may look like challenge to eat , soft shell crab hanging of roll , it is well worth price pay ."
126,deep fried skewer good still rare to find in nyc .,['fried skewer'],deep fried skewer good still rare to find in nyc .
127,"tried to make reservation , but time , hostess my name .",['my name'],"tried to make reservation , but time , hostess my name ."
128,also recommend rice dish or different variety of congee rice porridge .,"['congee rice', 'rice dish', 'rice porridge', 'congee rice porridge', 'different variety']",also recommend rice dish or different variety of congee rice porridge .
129,tuna tartar appetizer is to die .,"['tartar appetizer', 'tuna appetizer', 'tuna tartar appetizer']",tuna tartar appetizer is to die .
130,one of best restaurant ve ever to .,['best restaurant'],one of best restaurant ve ever to .
131,used to be pretty decent .,[],used to be pretty decent .
132,"an oasis of refinement food , though somewhat uneven , often reach pinnacle of new american fine cuisine chef passion kitchen precise execution is evident in fish dish soup .","['passion kitchen', 'fine execution', 'fish dish', 'chef kitchen', 'new execution', 'refinement food', 'precise execution', 'dish soup', 'american execution', 'an oasis', 'fish dish soup', 'cuisine chef']","an oasis of refinement food , though somewhat uneven , often reach pinnacle of new american fine cuisine chef passion kitchen precise execution is evident in fish dish soup ."
133,"if love wine cheese delicious french fare , ll love artisanal !","['delicious french fare', 'wine cheese', 'delicious fare', 'french fare']","if love wine cheese delicious french fare , ll love artisanal !"
134,love indian food consider to be quite an expert on it .,"['indian food', 'quite an expert']",love indian food consider to be quite an expert on it .
135,baby pizza get wish .,['baby pizza'],baby pizza get wish .
136,plenty of choice to make creation .,[],plenty of choice to make creation .
137,it tiny felt like eating in someone living room .,"['someone living room', 'living room', 'someone room']",it tiny felt like eating in someone living room .
138,on sat .,[],on sat .
139,overall oh ya even though is waiting it is deff worth it,"['worth deff', 'oh ya']",overall oh ya even though is waiting it is deff worth it
140,lava cake dessert incredible recommend it .,[],lava cake dessert incredible recommend it .
141,vt is baby pizza hope to be grow up .,"['baby pizza hope', 'baby pizza', 'pizza hope']",vt is baby pizza hope to be grow up .
142,"terrible service , to bland food , not to mention unaccommodating manager , overall experience horrible .","['unaccommodating manager', 'terrible service', 'overall experience', 'horrible experience']","terrible service , to bland food , not to mention unaccommodating manager , overall experience horrible ."
143,lahore is great to duck late night need really tasty food on cheap ll likely trouble finishing amount of food get four dollar .,"['cheap amount', 'four dollar', 'finishing amount', 'really tasty food', 'tasty food', 'late night']",lahore is great to duck late night need really tasty food on cheap ll likely trouble finishing amount of food get four dollar .
144,last time went we seated at table in corridor next to kitchen .,['last time'],last time went we seated at table in corridor next to kitchen .
145,good selection of wine ranging affordable to high end .,"['good selection', 'high end']",good selection of wine ranging affordable to high end .
146,"nice overall , classic upscale italian decor .","['nice decor', 'italian decor', 'classic decor', 'overall decor']","nice overall , classic upscale italian decor ."
147,not impressed food .,[],not impressed food .
148,entire dining experience wonderful !,"['entire experience', 'entire dining experience', 'dining experience']",entire dining experience wonderful !
149,wine selection by glass bottle is wonderful always recommend friend make reservation if re going to be in town .,"['wine selection', 'glass bottle']",wine selection by glass bottle is wonderful always recommend friend make reservation if re going to be in town .
150,service is highly refined seating delayed minute past reservation maitre apologized regularly kept u apprised of progress .,"['reservation maitre', 'delayed minute', 'refined seating', 'past reservation maitre', 'highly refined seating', 'past maitre']",service is highly refined seating delayed minute past reservation maitre apologized regularly kept u apprised of progress .
151,"order panang duck , it fantastic .",[],"order panang duck , it fantastic ."
152,"food is usually good , though ocasionally wondered freshmess of raw vegatables in side order .","['side order', 'raw vegatables']","food is usually good , though ocasionally wondered freshmess of raw vegatables in side order ."
153,"crappy service two individual , it great .","['two individual', 'crappy service']","crappy service two individual , it great ."
154,ask ?,[],ask ?
155,wondering best deal we noticed line formed to wait one particular .,['best deal'],wondering best deal we noticed line formed to wait one particular .
156,authentic indian at amazin price .,"['amazin price', 'authentic indian']",authentic indian at amazin price .
157,treated like royality .,[],treated like royality .
158,"nice quiet , small but enough or .",[],"nice quiet , small but enough or ."
159,ambiance relaxed stylish .,"['ambiance stylish', 'relaxed stylish', 'ambiance relaxed stylish']",ambiance relaxed stylish .
160,ve never felt unwelcome last month at jimmy bronx cafe .,"['jimmy bronx cafe', 'last month']",ve never felt unwelcome last month at jimmy bronx cafe .
161,"luckily we saved room bbq salmon , sea bass crispy duck .","['crispy duck', 'bass duck', 'sea bass crispy duck', 'sea bass', 'bbq salmon']","luckily we saved room bbq salmon , sea bass crispy duck ."
162,"yes , use fancy ingredient , but even fancy ingredient make good pizza unless someone know to get crust right .","['even fancy ingredient', 'good pizza', 'fancy ingredient']","yes , use fancy ingredient , but even fancy ingredient make good pizza unless someone know to get crust right ."
163,"looking outside in , one would hesitate to enter hole in wall really , it is .",[],"looking outside in , one would hesitate to enter hole in wall really , it is ."
164,yes dal bukhara is so dam good so kababs .,"['so dam', 'yes dal bukhara', 'good dam']",yes dal bukhara is so dam good so kababs .
165,look forward to eating,[],look forward to eating
166,ve coming a child always come back taste .,['a child'],ve coming a child always come back taste .
167,tuk tuk is one of comfortable neighborhood joint know always good meal at fair price .,"['tuk tuk', 'fair price', 'good meal']",tuk tuk is one of comfortable neighborhood joint know always good meal at fair price .
168,"glass of leaping lizard , glass of prosecco , mussel everything happy .",['leaping lizard'],"glass of leaping lizard , glass of prosecco , mussel everything happy ."
169,"food average creme brulee awful sugar charred , not caramelized smelled of kerosene .","['average creme', 'awful sugar']","food average creme brulee awful sugar charred , not caramelized smelled of kerosene ."
170,food always taste fresh served promptly .,[],food always taste fresh served promptly .
171,know live nearby .,[],know live nearby .
172,pizza is delicious .,[],pizza is delicious .
173,my entire family horrified .,"['entire family', 'my entire family']",my entire family horrified .
174,on monthly basis my friend get together girl night .,"['my friend', 'monthly basis', 'girl night']",on monthly basis my friend get together girl night .
175,"pizza garlic knot great a well , order quite often delivery is always super quick !","['pizza garlic knot', 'great knot', 'garlic knot', 'order delivery']","pizza garlic knot great a well , order quite often delivery is always super quick !"
176,"great chinese food nearby , wu liang ye grand sichuan block away .","['great food', 'chinese food']","great chinese food nearby , wu liang ye grand sichuan block away ."
177,but say murray is anything service .,['anything service'],but say murray is anything service .
178,"is really trendi but forgotten important part of , food .",['important part'],"is really trendi but forgotten important part of , food ."
179,never disappointed in red eye .,['red eye'],never disappointed in red eye .
180,hat to chef .,[],hat to chef .
181,done in back room away customer .,['back room'],done in back room away customer .
182,"service could be improved but overall is understands importance of little thing heavy , black , antique seeming teapot , one in experience .","['heavy teapot', 'black teapot', 'seeming teapot', 'little thing']","service could be improved but overall is understands importance of little thing heavy , black , antique seeming teapot , one in experience ."
183,glad luxury to throw paying customer .,"['glad luxury', 'paying customer']",glad luxury to throw paying customer .
184,"pizza is delicious use fresh mozzarella instead of cheap , frozen , shredded cheese common to pizzaria .","['common cheese', 'frozen cheese', 'fresh mozzarella', 'shredded cheese', 'cheap cheese']","pizza is delicious use fresh mozzarella instead of cheap , frozen , shredded cheese common to pizzaria ."
185,an excellent place to relax food is one of best in city of new york .,"['excellent place', 'an excellent place', 'new york']",an excellent place to relax food is one of best in city of new york .
186,"service is friendly , never problem walking in getting table .","['friendly problem', 'friendly , never problem']","service is friendly , never problem walking in getting table ."
187,atmosphere crowded but it great bistro type vibe .,"['bistro vibe', 'type vibe', 'great vibe']",atmosphere crowded but it great bistro type vibe .
188,check it,[],check it
189,"first , waitress completely unattentive time we saw odd in table got order wrong .","['unattentive time', 'completely unattentive time']","first , waitress completely unattentive time we saw odd in table got order wrong ."
190,go .,[],go .
191,food bland oily .,['food bland'],food bland oily .
192,but do .,[],but do .
193,"is even better , is price affordable a well , food is really good .",['affordable price'],"is even better , is price affordable a well , food is really good ."
194,fish is fresh but variety of fish is nothing of ordinary .,[],fish is fresh but variety of fish is nothing of ordinary .
195,look dont know if people wrote review ever to decent please try someother place .,['someother place'],look dont know if people wrote review ever to decent please try someother place .
196,suan challenged loyalty .,[],suan challenged loyalty .
197,"favorite meal is pesto pizza , house salad , good bottle of wine .","['good bottle', 'pesto pizza', 'house salad', 'favorite meal']","favorite meal is pesto pizza , house salad , good bottle of wine ."
198,"kruno , beverage manager is best bartender yet to come across .",['beverage manager'],"kruno , beverage manager is best bartender yet to come across ."
199,"ambiance music funky , enjoy .","['ambiance music', 'funky music']","ambiance music funky , enjoy ."
200,"food , drink service clearly among best in city .",[],"food , drink service clearly among best in city ."
201,went in late afternoon bite size food refleshment my date .,"['food refleshment', 'late afternoon', 'size food', 'bite size', 'afternoon size']",went in late afternoon bite size food refleshment my date .
202,"it really great deal , considering we got full of four dollar .","['really great deal', 'four dollar', 'great deal']","it really great deal , considering we got full of four dollar ."
203,"understand area folk need not come romantic , alluring ambiance or five star service featuring sommlier complicated maze of captain back waiter come authentic food , taste , experiance .","['star service', 'complicated maze', 'sommlier maze', 'captain back waiter', 'alluring ambiance', 'area folk', 'authentic food', 'five star service', 'sommlier complicated maze']","understand area folk need not come romantic , alluring ambiance or five star service featuring sommlier complicated maze of captain back waiter come authentic food , taste , experiance ."
204,went mommy person could afford taking me .,['mommy person'],went mommy person could afford taking me .
205,my friend on vacation in ny referred to chance by friend .,['my friend'],my friend on vacation in ny referred to chance by friend .
206,"last time went , waitress come back taking order .",['last time'],"last time went , waitress come back taking order ."
207,try tandoori salmon !,[],try tandoori salmon !
208,"am completely hooked on , it is ridiculous .",[],"am completely hooked on , it is ridiculous ."
209,"eating in , atmosphere save it , but at desk , it disappointing experience .",[],"eating in , atmosphere save it , but at desk , it disappointing experience ."
210,"granted space is smaller , it is best service find in even largest of restaurant .","['service find', 'best service find', 'best find', 'granted space']","granted space is smaller , it is best service find in even largest of restaurant ."
211,"recommended to friend , always get good response .",['good response'],"recommended to friend , always get good response ."
212,we return many time oasis in mid town .,"['many time', 'many time oasis', 'mid town', 'time oasis']",we return many time oasis in mid town .
213,love atmorphere peep !,"['atmorphere peep', 'love atmorphere peep']",love atmorphere peep !
214,enjoy !,[],enjoy !
215,we !,[],we !
216,is one of my favorite restaurant it is not to be missed .,"['my favorite restaurant', 'favorite restaurant']",is one of my favorite restaurant it is not to be missed .
217,la rosa is connected by swinging door to mexican pacifico .,"['mexican pacifico', 'la rosa']",la rosa is connected by swinging door to mexican pacifico .
218,it could handled better .,[],it could handled better .
219,service attentive suggestion of menu item right on mark .,"['attentive suggestion', 'service attentive suggestion', 'menu item']",service attentive suggestion of menu item right on mark .
220,night we three course meal everything delicious if could of licked plate clean would of .,['licked plate'],night we three course meal everything delicious if could of licked plate clean would of .
221,please be aware it cash or amex !,[],please be aware it cash or amex !
222,"even getting pushed by no class famous ray , sal risen to carry on father uncle legacy smile , true love community , let not forget outstanding pizza !","['famous ray', 'father smile', 'legacy smile', 'father uncle legacy smile', 'love community', 'no class famous ray', 'true love community', 'outstanding pizza', 'uncle smile', 'true community']","even getting pushed by no class famous ray , sal risen to carry on father uncle legacy smile , true love community , let not forget outstanding pizza !"
223,it rather cramped busy it close early .,[],it rather cramped busy it close early .
224,"environment is romantic , but food is horrible , service is pathetic , gabriella lie everything could .",[],"environment is romantic , but food is horrible , service is pathetic , gabriella lie everything could ."
225,"we crawfish boiled despite making mess , it ton of fun quite tasty a well .",['tasty ton'],"we crawfish boiled despite making mess , it ton of fun quite tasty a well ."
226,high expectation made reservation couple of month in advance special occasion .,"['reservation couple', 'special occasion', 'advance occasion', 'high expectation', 'advance special occasion']",high expectation made reservation couple of month in advance special occasion .
227,served warm soft fluffy interior .,"['warm interior', 'warm soft fluffy interior', 'soft interior', 'fluffy interior']",served warm soft fluffy interior .
228,came to table burned beyond recognition stringy .,['recognition stringy'],came to table burned beyond recognition stringy .
229,pad thai noodle sticky .,['pad thai noodle'],pad thai noodle sticky .
230,"so ve never actually to proper , but ve it delivered time .",[],"so ve never actually to proper , but ve it delivered time ."
231,"among of new th avenue restaurant , offer by far one of best value for your money .","['best value', 'avenue restaurant', 'your money', 'new th avenue restaurant', 'new restaurant']","among of new th avenue restaurant , offer by far one of best value for your money ."
232,"frankly , compare lunch , versus mcds or so many sandwich shop in city , is no comparison .","['compare lunch', 'many shop', 'no comparison', 'so many sandwich shop', 'sandwich shop']","frankly , compare lunch , versus mcds or so many sandwich shop in city , is no comparison ."
233,hostess is rude to point of offensive .,[],hostess is rude to point of offensive .
234,"if re craving haru great food , especially house roll , but stand wait building outisde , head across street to sake bar !","['especially house roll', 'great food', 'sake bar', 'house roll']","if re craving haru great food , especially house roll , but stand wait building outisde , head across street to sake bar !"
235,"narrow corridor lead to tiny space three tiny white tiled counter , great deal of mess stack of bottle , can small counter holding entree .","['tiny space', 'narrow lead', 'great deal', 'mess stack', 'tiled counter', 'narrow corridor lead', 'corridor lead', 'small counter', 'tiny counter']","narrow corridor lead to tiny space three tiny white tiled counter , great deal of mess stack of bottle , can small counter holding entree ."
236,food is great .,[],food is great .
237,succulent steak cooked precisely to desired doneness accompanied by salad side look like leafy road kill .,"['desired doneness', 'road kill', 'leafy road kill', 'salad look', 'salad side look', 'side look', 'leafy kill', 'succulent steak']",succulent steak cooked precisely to desired doneness accompanied by salad side look like leafy road kill .
238,"lunch came pickels and slaw , no extra charge .","['no extra charge', 'extra charge']","lunch came pickels and slaw , no extra charge ."
239,decent wine at reasonable price .,"['decent wine', 'reasonable price']",decent wine at reasonable price .
240,conveniently delivered right to door .,[],conveniently delivered right to door .
241,even the wine by the glass good .,"['good glass', 'even the wine', 'the glass']",even the wine by the glass good .
242,nice family owned traditional .,['nice family'],nice family owned traditional .
243,would rather tried terrace in sky or water club price,['water club'],would rather tried terrace in sky or water club price
244,dish is my favorite always get it go never get tired of it .,[],dish is my favorite always get it go never get tired of it .
245,"also ordered change mojito , of world .",['change mojito'],"also ordered change mojito , of world ."
246,okay service .,['okay service'],okay service .
247,thing wonderful food is exceptional is service .,"['wonderful food', 'thing wonderful food']",thing wonderful food is exceptional is service .
248,we pleasantly surprised .,[],we pleasantly surprised .
249,"food awful , atrocious actually .",['awful food'],"food awful , atrocious actually ."
250,never visit .,[],never visit .
251,the soup for the udon soy sauce water .,"['udon water', 'the soup', 'sauce water', 'soy sauce']",the soup for the udon soy sauce water .
252,"anti pasta excellent , especially calamari , a filling pasta main .","['pasta main', 'filling main', 'excellent pasta', 'anti pasta']","anti pasta excellent , especially calamari , a filling pasta main ."
253,waitress suggested glass of wine went well food .,"['waitress suggested glass', 'suggested glass']",waitress suggested glass of wine went well food .
254,"or sister , in my case ! .","['my case', 'or sister']","or sister , in my case ! ."
255,ve eaten at many different indian restaurant .,"['many restaurant', 'many different indian restaurant', 'indian restaurant', 'different restaurant']",ve eaten at many different indian restaurant .
256,"might be business at counter give order , but food say love .",[],"might be business at counter give order , but food say love ."
