id,sentence,aspects,aspectCategories,text
1314,Will not be back.,[],"[{""category"": ""anecdotes/miscellaneous"", ""polarity"": ""negative""}]",Will not be back.
675,"Don't go alone---even two people isn't enough for the whole experience, with pickles and a selection of meats and seafoods.","[{""term"": ""pickles"", ""polarity"": ""positive"", ""start"": ""77"", ""end"": ""84""}, {""term"": ""selection of meats and seafoods"", ""polarity"": ""positive"", ""start"": ""91"", ""end"": ""122""}]","[{""category"": ""food"", ""polarity"": ""positive""}]","Don't go alone---even two people isn't enough for the whole experience, with pickles and a selection of meats and seafoods."
2227,My suggestion is to eat family style because you'll want to try the other dishes.,"[{""term"": ""dishes"", ""polarity"": ""neutral"", ""start"": ""74"", ""end"": ""80""}, {""term"": ""eat family style"", ""polarity"": ""positive"", ""start"": ""20"", ""end"": ""36""}]","[{""category"": ""food"", ""polarity"": ""neutral""}]",My suggestion is to eat family style because you'll want to try the other dishes.
3367,"Best of all is the warm vibe, the owner is super friendly and service is fast.","[{""term"": ""vibe"", ""polarity"": ""positive"", ""start"": ""24"", ""end"": ""28""}, {""term"": ""owner"", ""polarity"": ""positive"", ""start"": ""34"", ""end"": ""39""}, {""term"": ""service"", ""polarity"": ""positive"", ""start"": ""62"", ""end"": ""69""}]","[{""category"": ""service"", ""polarity"": ""positive""}, {""category"": ""ambience"", ""polarity"": ""positive""}]","Best of all is the warm vibe, the owner is super friendly and service is fast."
1210,This isn't a value joint.,[],"[{""category"": ""price"", ""polarity"": ""negative""}]",This isn't a value joint.
2191,Faan's got a great concept but a little rough on the delivery.,"[{""term"": ""delivery"", ""polarity"": ""negative"", ""start"": ""53"", ""end"": ""61""}]","[{""category"": ""anecdotes/miscellaneous"", ""polarity"": ""positive""}, {""category"": ""service"", ""polarity"": ""negative""}]",Faan's got a great concept but a little rough on the delivery.
270,"From the incredible food, to the warm atmosphere, to the friendly service, this downtown neighborhood spot doesn't miss a beat.","[{""term"": ""food"", ""polarity"": ""positive"", ""start"": ""20"", ""end"": ""24""}, {""term"": ""atmosphere"", ""polarity"": ""positive"", ""start"": ""38"", ""end"": ""48""}, {""term"": ""service"", ""polarity"": ""positive"", ""start"": ""66"", ""end"": ""73""}]","[{""category"": ""food"", ""polarity"": ""positive""}, {""category"": ""service"", ""polarity"": ""positive""}, {""category"": ""ambience"", ""polarity"": ""positive""}]","From the incredible food, to the warm atmosphere, to the friendly service, this downtown neighborhood spot doesn't miss a beat."
638,"Great food at REASONABLE prices, makes for an evening that can't be beat!","[{""term"": ""food"", ""polarity"": ""positive"", ""start"": ""6"", ""end"": ""10""}, {""term"": ""prices"", ""polarity"": ""positive"", ""start"": ""25"", ""end"": ""31""}]","[{""category"": ""food"", ""polarity"": ""positive""}, {""category"": ""price"", ""polarity"": ""positive""}]","Great food at REASONABLE prices, makes for an evening that can't be beat!"
500,Look foward to trying the Ruben upon returning.,[],"[{""category"": ""anecdotes/miscellaneous"", ""polarity"": ""positive""}]",Look foward to trying the Ruben upon returning.
1108,The only other steakhouse that seems to hold a candle to Roth's is the Strip House.,[],"[{""category"": ""anecdotes/miscellaneous"", ""polarity"": ""neutral""}]",The only other steakhouse that seems to hold a candle to Roth's is the Strip House.
3294,We usually go to the Chart House to celebrate a birthday or anniversary.,[],"[{""category"": ""anecdotes/miscellaneous"", ""polarity"": ""neutral""}]",We usually go to the Chart House to celebrate a birthday or anniversary.
388,this little place has a cute interior decor and affordable city prices.,"[{""term"": ""interior decor"", ""polarity"": ""positive"", ""start"": ""29"", ""end"": ""43""}, {""term"": ""prices"", ""polarity"": ""positive"", ""start"": ""64"", ""end"": ""70""}]","[{""category"": ""ambience"", ""polarity"": ""positive""}, {""category"": ""price"", ""polarity"": ""positive""}]",this little place has a cute interior decor and affordable city prices.
3070,You'll adore it.,[],"[{""category"": ""anecdotes/miscellaneous"", ""polarity"": ""positive""}]",You'll adore it.
3373,Two words: Free wine.,"[{""term"": ""wine"", ""polarity"": ""positive"", ""start"": ""16"", ""end"": ""20""}]","[{""category"": ""price"", ""polarity"": ""positive""}]",Two words: Free wine.
425,The price is reasonable although the service is poor.,"[{""term"": ""price"", ""polarity"": ""positive"", ""start"": ""4"", ""end"": ""9""}, {""term"": ""service"", ""polarity"": ""negative"", ""start"": ""37"", ""end"": ""44""}]","[{""category"": ""service"", ""polarity"": ""negative""}, {""category"": ""price"", ""polarity"": ""positive""}]",The price is reasonable although the service is poor.
3192,"The quantity is also very good, you will come out satisfied.","[{""term"": ""quantity"", ""polarity"": ""positive"", ""start"": ""4"", ""end"": ""12""}]","[{""category"": ""food"", ""polarity"": ""positive""}]","The quantity is also very good, you will come out satisfied."
1098,I have been to Roth's twice and both times were very disappointing.,[],"[{""category"": ""anecdotes/miscellaneous"", ""polarity"": ""negative""}]",I have been to Roth's twice and both times were very disappointing.
2173,Worth visiting the 1st Ave spot because it is the original store.,[],"[{""category"": ""anecdotes/miscellaneous"", ""polarity"": ""positive""}]",Worth visiting the 1st Ave spot because it is the original store.
391,"I stumbled upon this second floor walk-up two Fridays ago when I was with two friends in town from L.A. Being serious sushi lovers, we sat at the sushi bar to be closer to the action.","[{""term"": ""sushi"", ""polarity"": ""neutral"", ""start"": ""118"", ""end"": ""123""}, {""term"": ""sushi bar"", ""polarity"": ""neutral"", ""start"": ""146"", ""end"": ""155""}]","[{""category"": ""anecdotes/miscellaneous"", ""polarity"": ""neutral""}]","I stumbled upon this second floor walk-up two Fridays ago when I was with two friends in town from L.A. Being serious sushi lovers, we sat at the sushi bar to be closer to the action."
263,"Raga's is a romantic, cozy restaurant.",[],"[{""category"": ""ambience"", ""polarity"": ""positive""}]","Raga's is a romantic, cozy restaurant."
2384,The fried rice is amazing here.,"[{""term"": ""fried rice"", ""polarity"": ""positive"", ""start"": ""4"", ""end"": ""14""}]","[{""category"": ""food"", ""polarity"": ""positive""}]",The fried rice is amazing here.
2962,"Three courses - choices include excellent mussels, puff pastry goat cheese and salad with a delicious dressing, and a hanger steak au poivre that is out of this world.","[{""term"": ""mussels"", ""polarity"": ""positive"", ""start"": ""42"", ""end"": ""49""}, {""term"": ""puff pastry goat cheese"", ""polarity"": ""positive"", ""start"": ""51"", ""end"": ""74""}, {""term"": ""salad with a delicious dressing"", ""polarity"": ""positive"", ""start"": ""79"", ""end"": ""110""}, {""term"": ""hanger steak au poivre"", ""polarity"": ""positive"", ""start"": ""118"", ""end"": ""140""}, {""term"": ""courses"", ""polarity"": ""neutral"", ""start"": ""6"", ""end"": ""13""}]","[{""category"": ""food"", ""polarity"": ""positive""}]","Three courses - choices include excellent mussels, puff pastry goat cheese and salad with a delicious dressing, and a hanger steak au poivre that is out of this world."
3404,it's a perfect place to have a amanzing indian food.,"[{""term"": ""indian food"", ""polarity"": ""positive"", ""start"": ""40"", ""end"": ""51""}]","[{""category"": ""food"", ""polarity"": ""positive""}]",it's a perfect place to have a amanzing indian food.
2599,The place is so cool and the service is prompt and curtious.,"[{""term"": ""service"", ""polarity"": ""positive"", ""start"": ""29"", ""end"": ""36""}, {""term"": ""place"", ""polarity"": ""positive"", ""start"": ""4"", ""end"": ""9""}]","[{""category"": ""service"", ""polarity"": ""positive""}, {""category"": ""ambience"", ""polarity"": ""positive""}]",The place is so cool and the service is prompt and curtious.
673,At the end you're left with a mild broth with noodles that you can slurp out of a cup.,"[{""term"": ""broth with noodles"", ""polarity"": ""positive"", ""start"": ""35"", ""end"": ""53""}]","[{""category"": ""food"", ""polarity"": ""positive""}]",At the end you're left with a mild broth with noodles that you can slurp out of a cup.
648,I just wonder how you can have such a delicious meal for such little money.,"[{""term"": ""meal"", ""polarity"": ""positive"", ""start"": ""48"", ""end"": ""52""}, {""term"": ""money"", ""polarity"": ""positive"", ""start"": ""69"", ""end"": ""74""}]","[{""category"": ""price"", ""polarity"": ""positive""}, {""category"": ""food"", ""polarity"": ""positive""}]",I just wonder how you can have such a delicious meal for such little money.
863,The food was delicious but do not come here on a empty stomach.,"[{""term"": ""food"", ""polarity"": ""conflict"", ""start"": ""4"", ""end"": ""8""}]","[{""category"": ""food"", ""polarity"": ""conflict""}]",The food was delicious but do not come here on a empty stomach.
1623,The wine list is excellent.,"[{""term"": ""wine list"", ""polarity"": ""positive"", ""start"": ""4"", ""end"": ""13""}]","[{""category"": ""food"", ""polarity"": ""positive""}]",The wine list is excellent.
2177,so garantuan that you can't fit them in a toaster.,[],"[{""category"": ""food"", ""polarity"": ""positive""}]",so garantuan that you can't fit them in a toaster.
430,"Ive been to many Thai restaurants in Manhattan before, and Toons is by far the best Thai food Ive had (except for my mom's of course).","[{""term"": ""Thai food"", ""polarity"": ""positive"", ""start"": ""84"", ""end"": ""93""}]","[{""category"": ""food"", ""polarity"": ""positive""}]","Ive been to many Thai restaurants in Manhattan before, and Toons is by far the best Thai food Ive had (except for my mom's of course)."
1101,They wouldnt even let me finish my glass of wine before offering another.,"[{""term"": ""glass of wine"", ""polarity"": ""neutral"", ""start"": ""35"", ""end"": ""48""}]","[{""category"": ""service"", ""polarity"": ""positive""}]",They wouldnt even let me finish my glass of wine before offering another.
1823,I highly recommend the Sophia pizza.,[],"[{""category"": ""anecdotes/miscellaneous"", ""polarity"": ""positive""}]",I highly recommend the Sophia pizza.
324,"Whem asked, we had to ask more detailed questions so that we knew what the specials were.","[{""term"": ""specials"", ""polarity"": ""neutral"", ""start"": ""75"", ""end"": ""83""}]","[{""category"": ""service"", ""polarity"": ""negative""}]","Whem asked, we had to ask more detailed questions so that we knew what the specials were."
2783,This is a consistently great place to dine for lunch or dinner.,"[{""term"": ""lunch"", ""polarity"": ""neutral"", ""start"": ""47"", ""end"": ""52""}, {""term"": ""dinner"", ""polarity"": ""neutral"", ""start"": ""56"", ""end"": ""62""}, {""term"": ""dine"", ""polarity"": ""positive"", ""start"": ""38"", ""end"": ""42""}]","[{""category"": ""anecdotes/miscellaneous"", ""polarity"": ""positive""}]",This is a consistently great place to dine for lunch or dinner.
2983,"Nice atmosphere, the service was very pleasant and the desert was good.","[{""term"": ""atmosphere"", ""polarity"": ""positive"", ""start"": ""5"", ""end"": ""15""}, {""term"": ""service"", ""polarity"": ""positive"", ""start"": ""21"", ""end"": ""28""}, {""term"": ""desert"", ""polarity"": ""positive"", ""start"": ""55"", ""end"": ""61""}]","[{""category"": ""food"", ""polarity"": ""positive""}, {""category"": ""service"", ""polarity"": ""positive""}, {""category"": ""ambience"", ""polarity"": ""positive""}]","Nice atmosphere, the service was very pleasant and the desert was good."
66,All the people that I bring there go back on their own and bring THEIR friends!,[],"[{""category"": ""anecdotes/miscellaneous"", ""polarity"": ""positive""}]",All the people that I bring there go back on their own and bring THEIR friends!
627,After really enjoying ourselves at the bar we sat down at a table and had dinner.,"[{""term"": ""bar"", ""polarity"": ""positive"", ""start"": ""39"", ""end"": ""42""}, {""term"": ""table"", ""polarity"": ""neutral"", ""start"": ""60"", ""end"": ""65""}, {""term"": ""dinner"", ""polarity"": ""neutral"", ""start"": ""74"", ""end"": ""80""}]","[{""category"": ""anecdotes/miscellaneous"", ""polarity"": ""positive""}]",After really enjoying ourselves at the bar we sat down at a table and had dinner.
3219,"Fabulous service, fantastic food, and a chilled out atmosphere and environment.","[{""term"": ""service"", ""polarity"": ""positive"", ""start"": ""9"", ""end"": ""16""}, {""term"": ""food"", ""polarity"": ""positive"", ""start"": ""28"", ""end"": ""32""}, {""term"": ""atmosphere"", ""polarity"": ""positive"", ""start"": ""52"", ""end"": ""62""}, {""term"": ""environment"", ""polarity"": ""positive"", ""start"": ""67"", ""end"": ""78""}]","[{""category"": ""food"", ""polarity"": ""positive""}, {""category"": ""service"", ""polarity"": ""positive""}, {""category"": ""ambience"", ""polarity"": ""positive""}]","Fabulous service, fantastic food, and a chilled out atmosphere and environment."
2934,Not what I wanted to hear.,[],"[{""category"": ""anecdotes/miscellaneous"", ""polarity"": ""negative""}]",Not what I wanted to hear.
2787,Try the lasagnette appetizer.,"[{""term"": ""lasagnette appetizer"", ""polarity"": ""positive"", ""start"": ""8"", ""end"": ""28""}]","[{""category"": ""food"", ""polarity"": ""positive""}]",Try the lasagnette appetizer.
825,"Pricey, but worth a try, at least once.",[],"[{""category"": ""price"", ""polarity"": ""negative""}, {""category"": ""anecdotes/miscellaneous"", ""polarity"": ""positive""}]","Pricey, but worth a try, at least once."
197,"I've been there a few times, and I usually end up sitting next to some pretty odd people.",[],"[{""category"": ""anecdotes/miscellaneous"", ""polarity"": ""negative""}]","I've been there a few times, and I usually end up sitting next to some pretty odd people."
604,I liked the beer selection!,"[{""term"": ""beer selection"", ""polarity"": ""positive"", ""start"": ""12"", ""end"": ""26""}]","[{""category"": ""food"", ""polarity"": ""positive""}]",I liked the beer selection!
2911,"Great food, good size menu, great service and an unpretensious setting.","[{""term"": ""food"", ""polarity"": ""positive"", ""start"": ""6"", ""end"": ""10""}, {""term"": ""menu"", ""polarity"": ""positive"", ""start"": ""22"", ""end"": ""26""}, {""term"": ""service"", ""polarity"": ""positive"", ""start"": ""34"", ""end"": ""41""}, {""term"": ""setting"", ""polarity"": ""positive"", ""start"": ""63"", ""end"": ""70""}]","[{""category"": ""food"", ""polarity"": ""positive""}, {""category"": ""service"", ""polarity"": ""positive""}, {""category"": ""ambience"", ""polarity"": ""positive""}]","Great food, good size menu, great service and an unpretensious setting."
3074,Go here for a romantic dinner but not for an all out wow dining experience.,"[{""term"": ""dinner"", ""polarity"": ""positive"", ""start"": ""23"", ""end"": ""29""}, {""term"": ""dining"", ""polarity"": ""positive"", ""start"": ""57"", ""end"": ""63""}]","[{""category"": ""anecdotes/miscellaneous"", ""polarity"": ""conflict""}]",Go here for a romantic dinner but not for an all out wow dining experience.
1479,Can't wait to go back.,[],"[{""category"": ""anecdotes/miscellaneous"", ""polarity"": ""positive""}]",Can't wait to go back.
1074,I grew up eating Dosa and have yet to find a place in NY to satisfy my taste buds.,"[{""term"": ""Dosa"", ""polarity"": ""neutral"", ""start"": ""17"", ""end"": ""21""}]","[{""category"": ""anecdotes/miscellaneous"", ""polarity"": ""neutral""}]",I grew up eating Dosa and have yet to find a place in NY to satisfy my taste buds.
912,Wine list selection is good and wine-by-the-glass was generously filled to the top.,"[{""term"": ""Wine list selection"", ""polarity"": ""positive"", ""start"": ""0"", ""end"": ""19""}, {""term"": ""wine-by-the-glass"", ""polarity"": ""positive"", ""start"": ""32"", ""end"": ""49""}]","[{""category"": ""food"", ""polarity"": ""positive""}]",Wine list selection is good and wine-by-the-glass was generously filled to the top.
728,"With the great variety on the menu , I eat here often and never get bored .","[{""term"": ""menu"", ""polarity"": ""positive"", ""start"": ""30"", ""end"": ""34""}]","[{""category"": ""food"", ""polarity"": ""positive""}]","With the great variety on the menu , I eat here often and never get bored ."
2925,The menu is very limited - i think we counted 4 or 5 entrees.,"[{""term"": ""menu"", ""polarity"": ""negative"", ""start"": ""4"", ""end"": ""8""}, {""term"": ""entrees"", ""polarity"": ""negative"", ""start"": ""53"", ""end"": ""60""}]","[{""category"": ""food"", ""polarity"": ""negative""}]",The menu is very limited - i think we counted 4 or 5 entrees.
495,"If you are a carnivore, come hungry and you will leave more satisfied than you have ever been.",[],"[{""category"": ""anecdotes/miscellaneous"", ""polarity"": ""positive""}]","If you are a carnivore, come hungry and you will leave more satisfied than you have ever been."
3436,The menu is limited but almost all of the dishes are excellent.,"[{""term"": ""menu"", ""polarity"": ""negative"", ""start"": ""4"", ""end"": ""8""}, {""term"": ""dishes"", ""polarity"": ""positive"", ""start"": ""42"", ""end"": ""48""}]","[{""category"": ""food"", ""polarity"": ""conflict""}]",The menu is limited but almost all of the dishes are excellent.
3273,Not too crazy about their sake martini.,"[{""term"": ""sake martini"", ""polarity"": ""negative"", ""start"": ""26"", ""end"": ""38""}]","[{""category"": ""food"", ""polarity"": ""negative""}]",Not too crazy about their sake martini.
1215,"Great bagels, spreads and a good place to hang out in.","[{""term"": ""bagels"", ""polarity"": ""positive"", ""start"": ""6"", ""end"": ""12""}, {""term"": ""spreads"", ""polarity"": ""positive"", ""start"": ""14"", ""end"": ""21""}]","[{""category"": ""food"", ""polarity"": ""positive""}, {""category"": ""anecdotes/miscellaneous"", ""polarity"": ""positive""}]","Great bagels, spreads and a good place to hang out in."
183,"The service varys from day to day- sometimes they're very nice, and sometimes not.","[{""term"": ""service"", ""polarity"": ""conflict"", ""start"": ""4"", ""end"": ""11""}]","[{""category"": ""service"", ""polarity"": ""conflict""}]","The service varys from day to day- sometimes they're very nice, and sometimes not."
2511,"whoever the jazz duo was, they were on POINT.",[],"[{""category"": ""ambience"", ""polarity"": ""positive""}]","whoever the jazz duo was, they were on POINT."
282,One thing I liked about this place is that I never felt rushed or pressured to give up my table ot incoming guests.,"[{""term"": ""table"", ""polarity"": ""neutral"", ""start"": ""90"", ""end"": ""95""}]","[{""category"": ""service"", ""polarity"": ""positive""}]",One thing I liked about this place is that I never felt rushed or pressured to give up my table ot incoming guests.
1562,This place is a great bargain.,[],"[{""category"": ""price"", ""polarity"": ""positive""}]",This place is a great bargain.
1712,We happened upon this place purely by accident and were pleased with the results.,[],"[{""category"": ""anecdotes/miscellaneous"", ""polarity"": ""positive""}]",We happened upon this place purely by accident and were pleased with the results.
3249,"Unfortunately, the food is outstanding, but everything else about this restaurant is the pits.","[{""term"": ""food"", ""polarity"": ""positive"", ""start"": ""19"", ""end"": ""23""}]","[{""category"": ""food"", ""polarity"": ""positive""}, {""category"": ""anecdotes/miscellaneous"", ""polarity"": ""negative""}]","Unfortunately, the food is outstanding, but everything else about this restaurant is the pits."
2052,Deff recimmend Bukhara they also have opened two new locations guess ill try them out.,[],"[{""category"": ""anecdotes/miscellaneous"", ""polarity"": ""positive""}]",Deff recimmend Bukhara they also have opened two new locations guess ill try them out.
3207,We always have a delicious meal and always leave feeling satisfied.,"[{""term"": ""meal"", ""polarity"": ""positive"", ""start"": ""27"", ""end"": ""31""}]","[{""category"": ""food"", ""polarity"": ""positive""}]",We always have a delicious meal and always leave feeling satisfied.
672,"Dip the ingredients in with your chopsticks, swirl them around, and eat.","[{""term"": ""ingredients"", ""polarity"": ""neutral"", ""start"": ""8"", ""end"": ""19""}, {""term"": ""chopsticks"", ""polarity"": ""neutral"", ""start"": ""33"", ""end"": ""43""}]","[{""category"": ""food"", ""polarity"": ""neutral""}]","Dip the ingredients in with your chopsticks, swirl them around, and eat."
2972,First went here to enjoy their garden terrace.,"[{""term"": ""garden terrace"", ""polarity"": ""positive"", ""start"": ""31"", ""end"": ""45""}]","[{""category"": ""ambience"", ""polarity"": ""positive""}]",First went here to enjoy their garden terrace.
1903,"My husbands was perfect, my was well done and dry.",[],"[{""category"": ""food"", ""polarity"": ""conflict""}]","My husbands was perfect, my was well done and dry."
2549,"Everyone I have spoken too there is super friendly, helpful, and willing to the extra mile for a customer.",[],"[{""category"": ""service"", ""polarity"": ""positive""}]","Everyone I have spoken too there is super friendly, helpful, and willing to the extra mile for a customer."
1755,The pizza was pretty good and huge.,"[{""term"": ""pizza"", ""polarity"": ""positive"", ""start"": ""4"", ""end"": ""9""}]","[{""category"": ""food"", ""polarity"": ""positive""}]",The pizza was pretty good and huge.
2890,Sapphire is the only Indian restaurant I go to when I'm in NYC.,[],"[{""category"": ""anecdotes/miscellaneous"", ""polarity"": ""positive""}]",Sapphire is the only Indian restaurant I go to when I'm in NYC.
