id,sentence,aspects,aspectCategories,text,sentence_cleaned,sentence_tokens,sentence_no_stopwords,sentence_lemmatized,sentence_final
296,"not mayonnaise , forgot toast , left ingredient ie cheese in an omelet , hot temperature bacon so cooked it crumbled on plate touched it .","[{""term"": ""toast"", ""polarity"": ""negative"", ""start"": ""41"", ""end"": ""46""}, {""term"": ""mayonnaise"", ""polarity"": ""negative"", ""start"": ""18"", ""end"": ""28""}, {""term"": ""bacon"", ""polarity"": ""negative"", ""start"": ""126"", ""end"": ""131""}, {""term"": ""cheese"", ""polarity"": ""neutral"", ""start"": ""73"", ""end"": ""79""}, {""term"": ""ingredients"", ""polarity"": ""negative"", ""start"": ""57"", ""end"": ""68""}, {""term"": ""plate"", ""polarity"": ""neutral"", ""start"": ""170"", ""end"": ""175""}, {""term"": ""omelet"", ""polarity"": ""neutral"", ""start"": ""86"", ""end"": ""92""}]","[{""category"": ""food"", ""polarity"": ""negative""}]","not mayonnaise , forgot toast , left ingredient ie cheese in an omelet , hot temperature bacon so cooked it crumbled on plate touched it .","they did not have mayonnaise, forgot our toast, left out ingredients ie cheese in an omelet , below hot temperatures and the bacon was so over cooked it crumbled on the plate when you touched it.","['they', 'did', 'not', 'have', 'mayonnaise', ',', 'forgot', 'our', 'toast', ',', 'left', 'out', 'ingredients', 'ie', 'cheese', 'in', 'an', 'omelet', ',', 'below', 'hot', 'temperatures', 'and', 'the', 'bacon', 'was', 'so', 'over', 'cooked', 'it', 'crumbled', 'on', 'the', 'plate', 'when', 'you', 'touched', 'it', '.']","['not', 'mayonnaise', ',', 'forgot', 'toast', ',', 'left', 'ingredients', 'ie', 'cheese', 'in', 'an', 'omelet', ',', 'hot', 'temperatures', 'bacon', 'so', 'cooked', 'it', 'crumbled', 'on', 'plate', 'touched', 'it', '.']","['not', 'mayonnaise', ',', 'forgot', 'toast', ',', 'left', 'ingredient', 'ie', 'cheese', 'in', 'an', 'omelet', ',', 'hot', 'temperature', 'bacon', 'so', 'cooked', 'it', 'crumbled', 'on', 'plate', 'touched', 'it', '.']","not mayonnaise , forgot toast , left ingredient ie cheese in an omelet , hot temperature bacon so cooked it crumbled on plate touched it ."
1793,"it took half an hour to get check , perfect since we could sit , drink talk !","[{""term"": ""drinks"", ""polarity"": ""neutral"", ""start"": ""82"", ""end"": ""88""}, {""term"": ""check"", ""polarity"": ""neutral"", ""start"": ""32"", ""end"": ""37""}]","[{""category"": ""service"", ""polarity"": ""conflict""}]","it took half an hour to get check , perfect since we could sit , drink talk !","it took half an hour to get our check, which was perfect since we could sit, have drinks and talk!","['it', 'took', 'half', 'an', 'hour', 'to', 'get', 'our', 'check', ',', 'which', 'was', 'perfect', 'since', 'we', 'could', 'sit', ',', 'have', 'drinks', 'and', 'talk', '!']","['it', 'took', 'half', 'an', 'hour', 'to', 'get', 'check', ',', 'perfect', 'since', 'we', 'could', 'sit', ',', 'drinks', 'talk', '!']","['it', 'took', 'half', 'an', 'hour', 'to', 'get', 'check', ',', 'perfect', 'since', 'we', 'could', 'sit', ',', 'drink', 'talk', '!']","it took half an hour to get check , perfect since we could sit , drink talk !"
2200,design atmosphere is a good .,"[{""term"": ""design"", ""polarity"": ""positive"", ""start"": ""4"", ""end"": ""10""}, {""term"": ""atmosphere"", ""polarity"": ""positive"", ""start"": ""15"", ""end"": ""25""}]","[{""category"": ""ambience"", ""polarity"": ""positive""}]",design atmosphere is a good .,the design and atmosphere is just as good.,"['the', 'design', 'and', 'atmosphere', 'is', 'just', 'as', 'good', '.']","['design', 'atmosphere', 'is', 'as', 'good', '.']","['design', 'atmosphere', 'is', 'a', 'good', '.']",design atmosphere is a good .
3195,he visited thailand is quite expert on cuisine .,"[{""term"": ""cuisine"", ""polarity"": ""positive"", ""start"": ""51"", ""end"": ""58""}]","[{""category"": ""food"", ""polarity"": ""positive""}]",he visited thailand is quite expert on cuisine .,he has visited thailand and is quite expert on the cuisine.,"['he', 'has', 'visited', 'thailand', 'and', 'is', 'quite', 'expert', 'on', 'the', 'cuisine', '.']","['he', 'visited', 'thailand', 'is', 'quite', 'expert', 'on', 'cuisine', '.']","['he', 'visited', 'thailand', 'is', 'quite', 'expert', 'on', 'cuisine', '.']",he visited thailand is quite expert on cuisine .
3119,would definitely recommend mary am making it one of my regular neighborhood haunt .,[],"[{""category"": ""anecdotes/miscellaneous"", ""polarity"": ""positive""}]",would definitely recommend mary am making it one of my regular neighborhood haunt .,i would definitely recommend mary s and am making it one of my regular neighborhood haunts.,"['would', 'definitely', 'recommend', 'mary', 'and', 'am', 'making', 'it', 'one', 'of', 'my', 'regular', 'neighborhood', 'haunts', '.']","['would', 'definitely', 'recommend', 'mary', 'am', 'making', 'it', 'one', 'of', 'my', 'regular', 'neighborhood', 'haunts', '.']","['would', 'definitely', 'recommend', 'mary', 'am', 'making', 'it', 'one', 'of', 'my', 'regular', 'neighborhood', 'haunt', '.']",would definitely recommend mary am making it one of my regular neighborhood haunt .
3359,pizza is best if like thin crusted pizza .,"[{""term"": ""pizza"", ""polarity"": ""positive"", ""start"": ""4"", ""end"": ""9""}, {""term"": ""thin crusted pizza"", ""polarity"": ""neutral"", ""start"": ""34"", ""end"": ""52""}]","[{""category"": ""food"", ""polarity"": ""positive""}]",pizza is best if like thin crusted pizza .,the pizza is the best if you like thin crusted pizza.,"['the', 'pizza', 'is', 'the', 'best', 'if', 'you', 'like', 'thin', 'crusted', 'pizza', '.']","['pizza', 'is', 'best', 'if', 'like', 'thin', 'crusted', 'pizza', '.']","['pizza', 'is', 'best', 'if', 'like', 'thin', 'crusted', 'pizza', '.']",pizza is best if like thin crusted pizza .
70,my girlfriend stumbled onto hopping night great time !,[],"[{""category"": ""anecdotes/miscellaneous"", ""polarity"": ""positive""}]",my girlfriend stumbled onto hopping night great time !,my girlfriend and i stumbled onto this hopping place the other night and had a great time!,"['my', 'girlfriend', 'and', 'stumbled', 'onto', 'this', 'hopping', 'place', 'the', 'other', 'night', 'and', 'had', 'great', 'time', '!']","['my', 'girlfriend', 'stumbled', 'onto', 'hopping', 'night', 'great', 'time', '!']","['my', 'girlfriend', 'stumbled', 'onto', 'hopping', 'night', 'great', 'time', '!']",my girlfriend stumbled onto hopping night great time !
1829,"he help , re bought up so fast .",[],"[{""category"": ""anecdotes/miscellaneous"", ""polarity"": ""neutral""}]","he help , re bought up so fast .","he can t help, they re bought up so fast.","['he', 'can', 'help', ',', 'they', 're', 'bought', 'up', 'so', 'fast', '.']","['he', 'help', ',', 're', 'bought', 'up', 'so', 'fast', '.']","['he', 'help', ',', 're', 'bought', 'up', 'so', 'fast', '.']","he help , re bought up so fast ."
2935,"secondly , on night overwhelmed by upper east side lady perfume .",[],"[{""category"": ""ambience"", ""polarity"": ""negative""}]","secondly , on night overwhelmed by upper east side lady perfume .","secondly, on this night the place was overwhelmed by upper east side ladies perfume.","['secondly', ',', 'on', 'this', 'night', 'the', 'place', 'was', 'overwhelmed', 'by', 'upper', 'east', 'side', 'ladies', 'perfume', '.']","['secondly', ',', 'on', 'night', 'overwhelmed', 'by', 'upper', 'east', 'side', 'ladies', 'perfume', '.']","['secondly', ',', 'on', 'night', 'overwhelmed', 'by', 'upper', 'east', 'side', 'lady', 'perfume', '.']","secondly , on night overwhelmed by upper east side lady perfume ."
1805,"eaten handful of time , no reason besides sheer convenience .",[],"[{""category"": ""anecdotes/miscellaneous"", ""polarity"": ""neutral""}]","eaten handful of time , no reason besides sheer convenience .","i have eaten here a handful of times, for no reason besides sheer convenience.","['have', 'eaten', 'here', 'handful', 'of', 'times', ',', 'for', 'no', 'reason', 'besides', 'sheer', 'convenience', '.']","['eaten', 'handful', 'of', 'times', ',', 'no', 'reason', 'besides', 'sheer', 'convenience', '.']","['eaten', 'handful', 'of', 'time', ',', 'no', 'reason', 'besides', 'sheer', 'convenience', '.']","eaten handful of time , no reason besides sheer convenience ."
2559,obviously run by folk know pie .,[],"[{""category"": ""service"", ""polarity"": ""positive""}]",obviously run by folk know pie .,obviously run by folks who know a pie.,"['obviously', 'run', 'by', 'folks', 'who', 'know', 'pie', '.']","['obviously', 'run', 'by', 'folks', 'know', 'pie', '.']","['obviously', 'run', 'by', 'folk', 'know', 'pie', '.']",obviously run by folk know pie .
716,we disappointed .,[],"[{""category"": ""anecdotes/miscellaneous"", ""polarity"": ""negative""}]",we disappointed .,we were very disappointed.,"['we', 'were', 'very', 'disappointed', '.']","['we', 'disappointed', '.']","['we', 'disappointed', '.']",we disappointed .
2464,it is definitely special affordable .,[],"[{""category"": ""anecdotes/miscellaneous"", ""polarity"": ""positive""}, {""category"": ""price"", ""polarity"": ""positive""}]",it is definitely special affordable .,it is definitely special and affordable.,"['it', 'is', 'definitely', 'special', 'and', 'affordable', '.']","['it', 'is', 'definitely', 'special', 'affordable', '.']","['it', 'is', 'definitely', 'special', 'affordable', '.']",it is definitely special affordable .
385,really liked .,[],"[{""category"": ""anecdotes/miscellaneous"", ""polarity"": ""positive""}]",really liked .,i really liked this place.,"['really', 'liked', 'this', 'place', '.']","['really', 'liked', '.']","['really', 'liked', '.']",really liked .
1350,be going back soon .,[],"[{""category"": ""anecdotes/miscellaneous"", ""polarity"": ""positive""}]",be going back soon .,i will be going back very soon.,"['will', 'be', 'going', 'back', 'very', 'soon', '.']","['be', 'going', 'back', 'soon', '.']","['be', 'going', 'back', 'soon', '.']",be going back soon .
3534,"money went interior decoration , none of it went to chef .","[{""term"": ""interior decoration"", ""polarity"": ""positive"", ""start"": ""28"", ""end"": ""47""}, {""term"": ""chefs"", ""polarity"": ""negative"", ""start"": ""72"", ""end"": ""77""}]","[{""category"": ""ambience"", ""polarity"": ""positive""}, {""category"": ""food"", ""polarity"": ""negative""}]","money went interior decoration , none of it went to chef .","all the money went into the interior decoration, none of it went to the chefs.","['all', 'the', 'money', 'went', 'into', 'the', 'interior', 'decoration', ',', 'none', 'of', 'it', 'went', 'to', 'the', 'chefs', '.']","['money', 'went', 'interior', 'decoration', ',', 'none', 'of', 'it', 'went', 'to', 'chefs', '.']","['money', 'went', 'interior', 'decoration', ',', 'none', 'of', 'it', 'went', 'to', 'chef', '.']","money went interior decoration , none of it went to chef ."
1407,seat uncomfortable if sitting wall on wooden bench .,"[{""term"": ""seats"", ""polarity"": ""negative"", ""start"": ""4"", ""end"": ""9""}]","[{""category"": ""ambience"", ""polarity"": ""negative""}]",seat uncomfortable if sitting wall on wooden bench .,the seats are uncomfortable if you are sitting against the wall on wooden benches.,"['the', 'seats', 'are', 'uncomfortable', 'if', 'you', 'are', 'sitting', 'against', 'the', 'wall', 'on', 'wooden', 'benches', '.']","['seats', 'uncomfortable', 'if', 'sitting', 'wall', 'on', 'wooden', 'benches', '.']","['seat', 'uncomfortable', 'if', 'sitting', 'wall', 'on', 'wooden', 'bench', '.']",seat uncomfortable if sitting wall on wooden bench .
565,"asked seltzer with lime , no ice .","[{""term"": ""seltzer with lime"", ""polarity"": ""neutral"", ""start"": ""12"", ""end"": ""29""}]","[{""category"": ""food"", ""polarity"": ""neutral""}]","asked seltzer with lime , no ice .","i asked for seltzer with lime, no ice.","['asked', 'for', 'seltzer', 'with', 'lime', ',', 'no', 'ice', '.']","['asked', 'seltzer', 'with', 'lime', ',', 'no', 'ice', '.']","['asked', 'seltzer', 'with', 'lime', ',', 'no', 'ice', '.']","asked seltzer with lime , no ice ."
387,it pretty inexpensive .,[],"[{""category"": ""price"", ""polarity"": ""positive""}]",it pretty inexpensive .,it was pretty inexpensive too.,"['it', 'was', 'pretty', 'inexpensive', 'too', '.']","['it', 'pretty', 'inexpensive', '.']","['it', 'pretty', 'inexpensive', '.']",it pretty inexpensive .
1314,not be back .,[],"[{""category"": ""anecdotes/miscellaneous"", ""polarity"": ""negative""}]",not be back .,will not be back.,"['will', 'not', 'be', 'back', '.']","['not', 'be', 'back', '.']","['not', 'be', 'back', '.']",not be back .
675,"go alone even two people enough whole experience , pickle and selection of meat and seafood .","[{""term"": ""pickles"", ""polarity"": ""positive"", ""start"": ""77"", ""end"": ""84""}, {""term"": ""selection of meats and seafoods"", ""polarity"": ""positive"", ""start"": ""91"", ""end"": ""122""}]","[{""category"": ""food"", ""polarity"": ""positive""}]","go alone even two people enough whole experience , pickle and selection of meat and seafood .","don t go alone even two people isn t enough for the whole experience, with pickles and a selection of meats and seafoods.","['don', 'go', 'alone', 'even', 'two', 'people', 'isn', 'enough', 'for', 'the', 'whole', 'experience', ',', 'with', 'pickles', 'and', 'selection', 'of', 'meats', 'and', 'seafoods', '.']","['go', 'alone', 'even', 'two', 'people', 'enough', 'whole', 'experience', ',', 'pickles', 'and', 'selection', 'of', 'meats', 'and', 'seafoods', '.']","['go', 'alone', 'even', 'two', 'people', 'enough', 'whole', 'experience', ',', 'pickle', 'and', 'selection', 'of', 'meat', 'and', 'seafood', '.']","go alone even two people enough whole experience , pickle and selection of meat and seafood ."
2227,my suggestion is to eat family style ll want to try dish .,"[{""term"": ""dishes"", ""polarity"": ""neutral"", ""start"": ""74"", ""end"": ""80""}, {""term"": ""eat family style"", ""polarity"": ""positive"", ""start"": ""20"", ""end"": ""36""}]","[{""category"": ""food"", ""polarity"": ""neutral""}]",my suggestion is to eat family style ll want to try dish .,my suggestion is to eat family style because you ll want to try the other dishes.,"['my', 'suggestion', 'is', 'to', 'eat', 'family', 'style', 'because', 'you', 'll', 'want', 'to', 'try', 'the', 'other', 'dishes', '.']","['my', 'suggestion', 'is', 'to', 'eat', 'family', 'style', 'll', 'want', 'to', 'try', 'dishes', '.']","['my', 'suggestion', 'is', 'to', 'eat', 'family', 'style', 'll', 'want', 'to', 'try', 'dish', '.']",my suggestion is to eat family style ll want to try dish .
3367,"best of is warm vibe , owner is super friendly service is fast .","[{""term"": ""vibe"", ""polarity"": ""positive"", ""start"": ""24"", ""end"": ""28""}, {""term"": ""owner"", ""polarity"": ""positive"", ""start"": ""34"", ""end"": ""39""}, {""term"": ""service"", ""polarity"": ""positive"", ""start"": ""62"", ""end"": ""69""}]","[{""category"": ""service"", ""polarity"": ""positive""}, {""category"": ""ambience"", ""polarity"": ""positive""}]","best of is warm vibe , owner is super friendly service is fast .","best of all is the warm vibe, the owner is super friendly and service is fast.","['best', 'of', 'all', 'is', 'the', 'warm', 'vibe', ',', 'the', 'owner', 'is', 'super', 'friendly', 'and', 'service', 'is', 'fast', '.']","['best', 'of', 'is', 'warm', 'vibe', ',', 'owner', 'is', 'super', 'friendly', 'service', 'is', 'fast', '.']","['best', 'of', 'is', 'warm', 'vibe', ',', 'owner', 'is', 'super', 'friendly', 'service', 'is', 'fast', '.']","best of is warm vibe , owner is super friendly service is fast ."
1210,value .,[],"[{""category"": ""price"", ""polarity"": ""negative""}]",value .,this isn t a value joint.,"['this', 'isn', 'value', 'joint', '.']","['value', '.']","['value', '.']",value .
2191,faan got great concept but little rough on delivery .,"[{""term"": ""delivery"", ""polarity"": ""negative"", ""start"": ""53"", ""end"": ""61""}]","[{""category"": ""anecdotes/miscellaneous"", ""polarity"": ""positive""}, {""category"": ""service"", ""polarity"": ""negative""}]",faan got great concept but little rough on delivery .,faan s got a great concept but a little rough on the delivery.,"['faan', 'got', 'great', 'concept', 'but', 'little', 'rough', 'on', 'the', 'delivery', '.']","['faan', 'got', 'great', 'concept', 'but', 'little', 'rough', 'on', 'delivery', '.']","['faan', 'got', 'great', 'concept', 'but', 'little', 'rough', 'on', 'delivery', '.']",faan got great concept but little rough on delivery .
270,"incredible food , to warm atmosphere , to friendly service , downtown neighborhood miss beat .","[{""term"": ""food"", ""polarity"": ""positive"", ""start"": ""20"", ""end"": ""24""}, {""term"": ""atmosphere"", ""polarity"": ""positive"", ""start"": ""38"", ""end"": ""48""}, {""term"": ""service"", ""polarity"": ""positive"", ""start"": ""66"", ""end"": ""73""}]","[{""category"": ""food"", ""polarity"": ""positive""}, {""category"": ""service"", ""polarity"": ""positive""}, {""category"": ""ambience"", ""polarity"": ""positive""}]","incredible food , to warm atmosphere , to friendly service , downtown neighborhood miss beat .","from the incredible food, to the warm atmosphere, to the friendly service, this downtown neighborhood spot doesn t miss a beat.","['from', 'the', 'incredible', 'food', ',', 'to', 'the', 'warm', 'atmosphere', ',', 'to', 'the', 'friendly', 'service', ',', 'this', 'downtown', 'neighborhood', 'spot', 'doesn', 'miss', 'beat', '.']","['incredible', 'food', ',', 'to', 'warm', 'atmosphere', ',', 'to', 'friendly', 'service', ',', 'downtown', 'neighborhood', 'miss', 'beat', '.']","['incredible', 'food', ',', 'to', 'warm', 'atmosphere', ',', 'to', 'friendly', 'service', ',', 'downtown', 'neighborhood', 'miss', 'beat', '.']","incredible food , to warm atmosphere , to friendly service , downtown neighborhood miss beat ."
638,"great food at reasonable price , make an evening be beat !","[{""term"": ""food"", ""polarity"": ""positive"", ""start"": ""6"", ""end"": ""10""}, {""term"": ""prices"", ""polarity"": ""positive"", ""start"": ""25"", ""end"": ""31""}]","[{""category"": ""food"", ""polarity"": ""positive""}, {""category"": ""price"", ""polarity"": ""positive""}]","great food at reasonable price , make an evening be beat !","great food at reasonable prices, makes for an evening that can t be beat!","['great', 'food', 'at', 'reasonable', 'prices', ',', 'makes', 'for', 'an', 'evening', 'that', 'can', 'be', 'beat', '!']","['great', 'food', 'at', 'reasonable', 'prices', ',', 'makes', 'an', 'evening', 'be', 'beat', '!']","['great', 'food', 'at', 'reasonable', 'price', ',', 'make', 'an', 'evening', 'be', 'beat', '!']","great food at reasonable price , make an evening be beat !"
500,look foward to trying ruben upon returning .,[],"[{""category"": ""anecdotes/miscellaneous"", ""polarity"": ""positive""}]",look foward to trying ruben upon returning .,look foward to trying the ruben upon returning.,"['look', 'foward', 'to', 'trying', 'the', 'ruben', 'upon', 'returning', '.']","['look', 'foward', 'to', 'trying', 'ruben', 'upon', 'returning', '.']","['look', 'foward', 'to', 'trying', 'ruben', 'upon', 'returning', '.']",look foward to trying ruben upon returning .
1108,steakhouse seems to hold candle to roth is strip house .,[],"[{""category"": ""anecdotes/miscellaneous"", ""polarity"": ""neutral""}]",steakhouse seems to hold candle to roth is strip house .,the only other steakhouse that seems to hold a candle to roth s is the strip house.,"['the', 'only', 'other', 'steakhouse', 'that', 'seems', 'to', 'hold', 'candle', 'to', 'roth', 'is', 'the', 'strip', 'house', '.']","['steakhouse', 'seems', 'to', 'hold', 'candle', 'to', 'roth', 'is', 'strip', 'house', '.']","['steakhouse', 'seems', 'to', 'hold', 'candle', 'to', 'roth', 'is', 'strip', 'house', '.']",steakhouse seems to hold candle to roth is strip house .
3294,we usually go to chart house to celebrate birthday or anniversary .,[],"[{""category"": ""anecdotes/miscellaneous"", ""polarity"": ""neutral""}]",we usually go to chart house to celebrate birthday or anniversary .,we usually go to the chart house to celebrate a birthday or anniversary.,"['we', 'usually', 'go', 'to', 'the', 'chart', 'house', 'to', 'celebrate', 'birthday', 'or', 'anniversary', '.']","['we', 'usually', 'go', 'to', 'chart', 'house', 'to', 'celebrate', 'birthday', 'or', 'anniversary', '.']","['we', 'usually', 'go', 'to', 'chart', 'house', 'to', 'celebrate', 'birthday', 'or', 'anniversary', '.']",we usually go to chart house to celebrate birthday or anniversary .
388,little cute interior decor affordable city price .,"[{""term"": ""interior decor"", ""polarity"": ""positive"", ""start"": ""29"", ""end"": ""43""}, {""term"": ""prices"", ""polarity"": ""positive"", ""start"": ""64"", ""end"": ""70""}]","[{""category"": ""ambience"", ""polarity"": ""positive""}, {""category"": ""price"", ""polarity"": ""positive""}]",little cute interior decor affordable city price .,this little place has a cute interior decor and affordable city prices.,"['this', 'little', 'place', 'has', 'cute', 'interior', 'decor', 'and', 'affordable', 'city', 'prices', '.']","['little', 'cute', 'interior', 'decor', 'affordable', 'city', 'prices', '.']","['little', 'cute', 'interior', 'decor', 'affordable', 'city', 'price', '.']",little cute interior decor affordable city price .
