review_id,text,aspects,sentiments
35,"incredible food , to warm atmosphere , to friendly service , downtown neighborhood miss beat .","['downtown beat', 'neighborhood beat', 'warm atmosphere', 'friendly service', 'incredible food', 'miss beat']","[{'aspect': 'downtown beat', 'sentiment': 'neutral', 'score': 0.0}, {'aspect': 'neighborhood beat', 'sentiment': 'neutral', 'score': 0.0}, {'aspect': 'warm atmosphere', 'sentiment': 'positive', 'score': 0.62, 'context': 'incredible food , to warm atmosphere , to friendly service , downtown'}, {'aspect': 'friendly service', 'sentiment': 'positive', 'score': 0.49, 'context': ', to warm atmosphere , to friendly service , downtown neighborhood miss beat .'}, {'aspect': 'incredible food', 'sentiment': 'positive', 'score': 0.75, 'context': 'incredible food , to warm atmosphere , to'}, {'aspect': 'miss beat', 'sentiment': 'positive', 'score': 0.38, 'context': 'to friendly service , downtown neighborhood miss beat .'}]"
36,"great food at reasonable price , make an evening be beat !","['great food', 'reasonable price', 'an evening']","[{'aspect': 'great food', 'sentiment': 'positive', 'score': 0.5, 'context': 'great food at reasonable price , make an'}, {'aspect': 'reasonable price', 'sentiment': 'positive', 'score': 0.5, 'context': 'great food at reasonable price , make an evening be beat'}, {'aspect': 'an evening', 'sentiment': 'positive', 'score': 0.25, 'context': 'food at reasonable price , make an evening be beat !'}]"
37,look foward to trying ruben upon returning .,[],[]
38,steakhouse seems to hold candle to roth is strip house .,['strip house'],"[{'aspect': 'strip house', 'sentiment': 'neutral', 'score': 0.0, 'context': 'to hold candle to roth is strip house .'}]"
39,we usually go to chart house to celebrate birthday or anniversary .,['chart house'],"[{'aspect': 'chart house', 'sentiment': 'negative', 'score': -0.25, 'context': 'we usually go to chart house to celebrate birthday or anniversary .'}]"
40,little cute interior decor affordable city price .,"['decor price', 'affordable city', 'city price', 'little price', 'cute price']","[{'aspect': 'decor price', 'sentiment': 'neutral', 'score': 0.0}, {'aspect': 'affordable city', 'sentiment': 'positive', 'score': 0.16, 'context': 'little cute interior decor affordable city price .'}, {'aspect': 'city price', 'sentiment': 'positive', 'score': 0.16, 'context': 'little cute interior decor affordable city price .'}, {'aspect': 'little price', 'sentiment': 'neutral', 'score': 0.0}, {'aspect': 'cute price', 'sentiment': 'neutral', 'score': 0.0}]"
41,ll adore it .,[],[]
42,two word free wine .,"['free wine', 'two word free wine']","[{'aspect': 'free wine', 'sentiment': 'positive', 'score': 0.4, 'context': 'two word free wine .'}, {'aspect': 'two word free wine', 'sentiment': 'positive', 'score': 0.4, 'context': 'two word free wine .'}]"
43,price is reasonable although service is poor .,[],[]
44,"quantity is also good , come satisfied .",[],[]
45,to roth twice time disappointing .,['twice time'],"[{'aspect': 'twice time', 'sentiment': 'negative', 'score': -0.6, 'context': 'to roth twice time disappointing .'}]"
46,worth visiting st ave it is original store .,"['st ave', 'original store']","[{'aspect': 'st ave', 'sentiment': 'positive', 'score': 0.34, 'context': 'worth visiting st ave it is original store .'}, {'aspect': 'original store', 'sentiment': 'positive', 'score': 0.34, 'context': 'worth visiting st ave it is original store .'}]"
47,"stumbled upon second floor walk up two friday ago two friend in town l.a. serious sushi lover , we sat at sushi bar to be closer to action .","['two friend', 'second floor', 'sushi bar']","[{'aspect': 'two friend', 'sentiment': 'negative', 'score': -0.33, 'context': 'floor walk up two friday ago two friend in town l.a . serious sushi'}, {'aspect': 'second floor', 'sentiment': 'neutral', 'score': 0.0, 'context': 'stumbled upon second floor walk up two friday ago two'}, {'aspect': 'sushi bar', 'sentiment': 'neutral', 'score': 0.1, 'context': 'sushi lover , we sat at sushi bar to be closer to action .'}]"
48,"raga is romantic , cozy .",[],[]
49,fried rice is amazing .,['fried rice'],"[{'aspect': 'fried rice', 'sentiment': 'positive', 'score': 0.6, 'context': 'fried rice is amazing .'}]"
50,"three course choice include excellent mussel , puff pastry goat cheese salad with delicious dressing , hanger steak au poivre is of world .","['three course choice', 'puff pastry goat cheese', 'excellent mussel', 'puff pastry', 'course choice', 'delicious dressing']","[{'aspect': 'three course choice', 'sentiment': 'positive', 'score': 1.0, 'context': 'three course choice include excellent mussel , puff pastry'}, {'aspect': 'puff pastry goat cheese', 'sentiment': 'positive', 'score': 1.0, 'context': 'course choice include excellent mussel , puff pastry goat cheese salad with delicious dressing , hanger'}, {'aspect': 'excellent mussel', 'sentiment': 'positive', 'score': 1.0, 'context': 'three course choice include excellent mussel , puff pastry goat cheese salad'}, {'aspect': 'puff pastry', 'sentiment': 'positive', 'score': 1.0, 'context': 'course choice include excellent mussel , puff pastry goat cheese salad with delicious dressing'}, {'aspect': 'course choice', 'sentiment': 'positive', 'score': 1.0, 'context': 'three course choice include excellent mussel , puff pastry'}, {'aspect': 'delicious dressing', 'sentiment': 'positive', 'score': 1.0, 'context': 'puff pastry goat cheese salad with delicious dressing , hanger steak au poivre is'}]"
51,it perfect to amanzing indian food .,['indian food'],"[{'aspect': 'indian food', 'sentiment': 'positive', 'score': 1.0, 'context': 'it perfect to amanzing indian food .'}]"
52,place is so cool service is prompt curtious .,"['cool service', 'so cool service']","[{'aspect': 'cool service', 'sentiment': 'positive', 'score': 0.35, 'context': 'place is so cool service is prompt curtious .'}, {'aspect': 'so cool service', 'sentiment': 'positive', 'score': 0.35, 'context': 'place is so cool service is prompt curtious .'}]"
53,at end re left with mild broth with noodle slurp of cup .,"['mild broth', 'noodle slurp']","[{'aspect': 'mild broth', 'sentiment': 'positive', 'score': 0.17, 'context': 'at end re left with mild broth with noodle slurp of cup .'}, {'aspect': 'noodle slurp', 'sentiment': 'positive', 'score': 0.17, 'context': 're left with mild broth with noodle slurp of cup .'}]"
54,wonder delicious meal little money .,"['delicious meal', 'little money', 'delicious meal little money']","[{'aspect': 'delicious meal', 'sentiment': 'positive', 'score': 0.41, 'context': 'wonder delicious meal little money .'}, {'aspect': 'little money', 'sentiment': 'positive', 'score': 0.41, 'context': 'wonder delicious meal little money .'}, {'aspect': 'delicious meal little money', 'sentiment': 'positive', 'score': 0.41, 'context': 'wonder delicious meal little money .'}]"
55,food delicious but do not come on empty stomach .,"['food delicious', 'empty stomach']","[{'aspect': 'food delicious', 'sentiment': 'conflict', 'score': -0.45, 'context': 'food delicious but do not come on empty'}, {'aspect': 'empty stomach', 'sentiment': 'conflict', 'score': -0.45, 'context': 'delicious but do not come on empty stomach .'}]"
56,wine list is excellent .,['wine list'],"[{'aspect': 'wine list', 'sentiment': 'positive', 'score': 1.0, 'context': 'wine list is excellent .'}]"
57,so garantuan fit in toaster .,[],[]
58,"ive to many thai restaurant in manhattan , toon is by far best thai food ive except my mom of course .","['best food', 'many thai restaurant', 'thai restaurant', 'far best thai food', 'my mom', 'thai food', 'many restaurant']","[{'aspect': 'best food', 'sentiment': 'neutral', 'score': 0.0}, {'aspect': 'many thai restaurant', 'sentiment': 'positive', 'score': 0.5, 'context': 'i ve to many thai restaurant in manhattan , toon is by'}, {'aspect': 'thai restaurant', 'sentiment': 'positive', 'score': 0.5, 'context': 'i ve to many thai restaurant in manhattan , toon is by'}, {'aspect': 'far best thai food', 'sentiment': 'positive', 'score': 0.55, 'context': 'in manhattan , toon is by far best thai food i ve except my mom of'}, {'aspect': 'my mom', 'sentiment': 'positive', 'score': 1.0, 'context': 'best thai food i ve except my mom of course .'}, {'aspect': 'thai food', 'sentiment': 'positive', 'score': 0.55, 'context': ', toon is by far best thai food i ve except my mom of'}, {'aspect': 'many restaurant', 'sentiment': 'neutral', 'score': 0.0}]"
59,wouldnt even let me finish my glass of wine offering another .,['my glass'],"[{'aspect': 'my glass', 'sentiment': 'neutral', 'score': 0.0, 'context': 'would nt even let me finish my glass of wine offering another .'}]"
60,highly recommend sophia pizza .,['sophia pizza'],"[{'aspect': 'sophia pizza', 'sentiment': 'positive', 'score': 0.16, 'context': 'highly recommend sophia pizza .'}]"
61,"whem asked , we to ask detailed question so we knew special .",['detailed question'],"[{'aspect': 'detailed question', 'sentiment': 'positive', 'score': 0.38, 'context': 'whem asked , we to ask detailed question so we knew special .'}]"
62,is consistently great to dine lunch or dinner .,[],[]
63,"nice atmosphere , service pleasant desert good .","['nice atmosphere', 'pleasant desert', 'service desert', 'service pleasant desert']","[{'aspect': 'nice atmosphere', 'sentiment': 'positive', 'score': 0.68, 'context': 'nice atmosphere , service pleasant desert good .'}, {'aspect': 'pleasant desert', 'sentiment': 'positive', 'score': 0.68, 'context': 'nice atmosphere , service pleasant desert good .'}, {'aspect': 'service desert', 'sentiment': 'neutral', 'score': 0.0}, {'aspect': 'service pleasant desert', 'sentiment': 'positive', 'score': 0.68, 'context': 'nice atmosphere , service pleasant desert good .'}]"
64,people bring go back on bring friend !,[],[]
65,really enjoying at bar we sat at table dinner .,['table dinner'],"[{'aspect': 'table dinner', 'sentiment': 'positive', 'score': 0.5, 'context': 'enjoying at bar we sat at table dinner .'}]"
66,"fabulous service , fantastic food , chilled atmosphere environment .","['chilled atmosphere environment', 'chilled environment', 'atmosphere environment', 'fantastic food', 'fabulous service']","[{'aspect': 'chilled atmosphere environment', 'sentiment': 'positive', 'score': 0.4, 'context': 'fabulous service , fantastic food , chilled atmosphere environment .'}, {'aspect': 'chilled environment', 'sentiment': 'neutral', 'score': 0.0}, {'aspect': 'atmosphere environment', 'sentiment': 'positive', 'score': 0.4, 'context': 'service , fantastic food , chilled atmosphere environment .'}, {'aspect': 'fantastic food', 'sentiment': 'positive', 'score': 0.4, 'context': 'fabulous service , fantastic food , chilled atmosphere environment .'}, {'aspect': 'fabulous service', 'sentiment': 'positive', 'score': 0.4, 'context': 'fabulous service , fantastic food , chilled atmosphere'}]"
67,not wanted to hear .,[],[]
68,try lasagnette appetizer .,['lasagnette appetizer'],"[{'aspect': 'lasagnette appetizer', 'sentiment': 'neutral', 'score': 0.0, 'context': 'try lasagnette appetizer .'}]"
69,"pricey , but worth try , at least .",[],[]
70,"ve time , usually end up sitting next to pretty odd people .","['odd people', 'pretty odd people']","[{'aspect': 'odd people', 'sentiment': 'neutral', 'score': 0.03, 'context': 'end up sitting next to pretty odd people .'}, {'aspect': 'pretty odd people', 'sentiment': 'neutral', 'score': -0.04, 'context': 'usually end up sitting next to pretty odd people .'}]"
71,liked beer selection !,['beer selection'],"[{'aspect': 'beer selection', 'sentiment': 'positive', 'score': 0.75, 'context': 'liked beer selection !'}]"
72,"great food , good size menu , great service an unpretensious setting .","['unpretensious setting', 'an unpretensious setting', 'good size', 'great food', 'great service', 'size menu']","[{'aspect': 'unpretensious setting', 'sentiment': 'positive', 'score': 0.8, 'context': 'size menu , great service an unpretensious setting .'}, {'aspect': 'an unpretensious setting', 'sentiment': 'positive', 'score': 0.75, 'context': 'good size menu , great service an unpretensious setting .'}, {'aspect': 'good size', 'sentiment': 'positive', 'score': 0.77, 'context': 'great food , good size menu , great service an unpretensious'}, {'aspect': 'great food', 'sentiment': 'positive', 'score': 0.77, 'context': 'great food , good size menu , great'}, {'aspect': 'great service', 'sentiment': 'positive', 'score': 0.75, 'context': 'food , good size menu , great service an unpretensious setting .'}, {'aspect': 'size menu', 'sentiment': 'positive', 'score': 0.77, 'context': 'great food , good size menu , great service an unpretensious setting'}]"
73,go romantic dinner but not an wow dining experience .,"['wow experience', 'dining experience', 'romantic dinner']","[{'aspect': 'wow experience', 'sentiment': 'neutral', 'score': 0.0}, {'aspect': 'dining experience', 'sentiment': 'neutral', 'score': -0.05, 'context': 'romantic dinner but not an wow dining experience .'}, {'aspect': 'romantic dinner', 'sentiment': 'neutral', 'score': -0.05, 'context': 'go romantic dinner but not an wow dining experience'}]"
74,wait to go back .,[],[]
75,grew up eating dosa yet to find in ny to satisfy my taste bud .,"['my taste bud', 'taste bud']","[{'aspect': 'my taste bud', 'sentiment': 'neutral', 'score': 0.0, 'context': 'to find in ny to satisfy my taste bud .'}, {'aspect': 'taste bud', 'sentiment': 'neutral', 'score': 0.0, 'context': 'find in ny to satisfy my taste bud .'}]"
76,wine list selection is good wine by glass generously filled to top .,"['wine list selection', 'wine list', 'good wine', 'list selection']","[{'aspect': 'wine list selection', 'sentiment': 'positive', 'score': 0.7, 'context': 'wine list selection is good wine by glass generously'}, {'aspect': 'wine list', 'sentiment': 'positive', 'score': 0.7, 'context': 'wine list selection is good wine by glass'}, {'aspect': 'good wine', 'sentiment': 'positive', 'score': 0.53, 'context': 'wine list selection is good wine by glass generously filled to top'}, {'aspect': 'list selection', 'sentiment': 'positive', 'score': 0.7, 'context': 'wine list selection is good wine by glass generously'}]"
77,"great variety on menu , eat often never get bored .",['great variety'],"[{'aspect': 'great variety', 'sentiment': 'negative', 'score': -0.8, 'context': 'great variety on menu , eat often never'}]"
78,menu is limited think we counted or entree .,[],[]
79,"if carnivore , come hungry leave satisfied ever .",[],[]
80,menu is limited but almost of dish excellent .,[],[]
81,not crazy sake martini .,"['not crazy sake martini', 'sake martini', 'crazy martini']","[{'aspect': 'not crazy sake martini', 'sentiment': 'negative', 'score': -0.3, 'context': 'not crazy sake martini .'}, {'aspect': 'sake martini', 'sentiment': 'negative', 'score': -0.3, 'context': 'not crazy sake martini .'}, {'aspect': 'crazy martini', 'sentiment': 'neutral', 'score': 0.0}]"
82,"great bagel , spread good to hang in .",['great bagel'],"[{'aspect': 'great bagel', 'sentiment': 'positive', 'score': 0.75, 'context': 'great bagel , spread good to hang in'}]"
83,"service varys day to day sometimes re nice , sometimes not .","['varys day', 'service varys']","[{'aspect': 'varys day', 'sentiment': 'positive', 'score': 0.6, 'context': 'service varys day to day sometimes re nice ,'}, {'aspect': 'service varys', 'sentiment': 'positive', 'score': 0.6, 'context': 'service varys day to day sometimes re nice'}]"
84,"whoever jazz duo , on point .",[],[]
85,one thing liked is never felt rushed or pressured to give up my table ot incoming guest .,"['incoming guest', 'one thing', 'ot incoming guest', 'my table']","[{'aspect': 'incoming guest', 'sentiment': 'neutral', 'score': 0.0, 'context': 'to give up my table ot incoming guest .'}, {'aspect': 'one thing', 'sentiment': 'negative', 'score': -0.6, 'context': 'one thing liked is never felt rushed or'}, {'aspect': 'ot incoming guest', 'sentiment': 'neutral', 'score': 0.0, 'context': 'pressured to give up my table ot incoming guest .'}, {'aspect': 'my table', 'sentiment': 'neutral', 'score': 0.0, 'context': 'rushed or pressured to give up my table ot incoming guest .'}]"
86,is great bargain .,['great bargain'],"[{'aspect': 'great bargain', 'sentiment': 'positive', 'score': 0.8, 'context': 'is great bargain .'}]"
87,we happened upon purely by accident pleased result .,"['accident pleased result', 'pleased result']","[{'aspect': 'accident pleased result', 'sentiment': 'positive', 'score': 0.36, 'context': 'we happened upon purely by accident pleased result .'}, {'aspect': 'pleased result', 'sentiment': 'positive', 'score': 0.36, 'context': 'we happened upon purely by accident pleased result .'}]"
88,"unfortunately , food is outstanding , but everything else is pit .",[],[]
89,deff recimmend bukhara also opened two new location guess ill try .,"['new location', 'deff recimmend bukhara', 'ill try', 'two new location', 'recimmend bukhara']","[{'aspect': 'new location', 'sentiment': 'negative', 'score': -0.18, 'context': 'deff recimmend bukhara also opened two new location guess ill try .'}, {'aspect': 'deff recimmend bukhara', 'sentiment': 'positive', 'score': 0.14, 'context': 'deff recimmend bukhara also opened two new location guess'}, {'aspect': 'ill try', 'sentiment': 'negative', 'score': -0.18, 'context': 'also opened two new location guess ill try .'}, {'aspect': 'two new location', 'sentiment': 'negative', 'score': -0.18, 'context': 'deff recimmend bukhara also opened two new location guess ill try .'}, {'aspect': 'recimmend bukhara', 'sentiment': 'positive', 'score': 0.14, 'context': 'deff recimmend bukhara also opened two new location guess'}]"
90,we always delicious meal always leave feeling satisfied .,[],[]
91,"dip ingredient in chopstick , swirl around , eat .",['dip ingredient'],"[{'aspect': 'dip ingredient', 'sentiment': 'neutral', 'score': 0.0, 'context': 'dip ingredient in chopstick , swirl around ,'}]"
92,first went to enjoy garden terrace .,['garden terrace'],"[{'aspect': 'garden terrace', 'sentiment': 'positive', 'score': 0.33, 'context': 'first went to enjoy garden terrace .'}]"
93,"my husband perfect , my well done dry .",['my husband'],"[{'aspect': 'my husband', 'sentiment': 'positive', 'score': 0.47, 'context': 'my husband perfect , my well done dry'}]"
94,"everyone spoken is super friendly , helpful , willing to extra mile customer .","['extra customer', 'extra mile customer', 'mile customer']","[{'aspect': 'extra customer', 'sentiment': 'neutral', 'score': 0.0}, {'aspect': 'extra mile customer', 'sentiment': 'positive', 'score': 0.21, 'context': 'friendly , helpful , willing to extra mile customer .'}, {'aspect': 'mile customer', 'sentiment': 'positive', 'score': 0.12, 'context': ', helpful , willing to extra mile customer .'}]"
95,pizza pretty good huge .,['huge pizza'],"[{'aspect': 'huge pizza', 'sentiment': 'neutral', 'score': 0.0}]"
96,sapphire is indian go to in nyc .,[],[]
97,"cuisine ve gathered is authentic taiwanese , though different ve accustomed to in taipei .",[],[]
98,heartily recommend .,[],[]
99,heartland brewery is by far one of best place in nyc to make new friend catch up old one .,"['heartland brewery', 'new friend', 'best place', 'old one']","[{'aspect': 'heartland brewery', 'sentiment': 'positive', 'score': 0.55, 'context': 'heartland brewery is by far one of best'}, {'aspect': 'new friend', 'sentiment': 'positive', 'score': 0.41, 'context': 'best place in nyc to make new friend catch up old one .'}, {'aspect': 'best place', 'sentiment': 'positive', 'score': 0.41, 'context': 'brewery is by far one of best place in nyc to make new friend'}, {'aspect': 'old one', 'sentiment': 'positive', 'score': 0.12, 'context': 'to make new friend catch up old one .'}]"
100,almost hesititate to write review atmosphere so great would hate it become to crowded .,['review atmosphere'],"[{'aspect': 'review atmosphere', 'sentiment': 'neutral', 'score': 0.0, 'context': 'almost hesititate to write review atmosphere so great would hate it become'}]"
101,often crowded on weekend but efficient accurate service .,"['accurate service', 'efficient service', 'efficient accurate service']","[{'aspect': 'accurate service', 'sentiment': 'positive', 'score': 0.4, 'context': 'often crowded on weekend but efficient accurate service .'}, {'aspect': 'efficient service', 'sentiment': 'neutral', 'score': 0.0}, {'aspect': 'efficient accurate service', 'sentiment': 'positive', 'score': 0.4, 'context': 'often crowded on weekend but efficient accurate service .'}]"
102,my co worker amazed at small dish .,"['my co worker', 'small dish', 'co worker']","[{'aspect': 'my co worker', 'sentiment': 'negative', 'score': -0.25, 'context': 'my co worker amazed at small dish .'}, {'aspect': 'small dish', 'sentiment': 'negative', 'score': -0.25, 'context': 'my co worker amazed at small dish .'}, {'aspect': 'co worker', 'sentiment': 'negative', 'score': -0.25, 'context': 'my co worker amazed at small dish .'}]"
103,"atmosphere is unheralded , service impecible , food magnificant .","['impecible magnificant', 'food magnificant']","[{'aspect': 'impecible magnificant', 'sentiment': 'neutral', 'score': 0.0}, {'aspect': 'food magnificant', 'sentiment': 'neutral', 'score': 0.0, 'context': 'is unheralded , service impecible , food magnificant .'}]"
